,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,8:00:50 AM,,trial start,,,,,,had to separate males
1,8:01:17 AM,,mount,",1",",0",,,,
1,8:01:32 AM,,mount,",5",:7,,,,
1,8:02:02 AM,,mount,",9",:1,,,,
1,8:03:51 AM,8:06:02 AM,insemination,",1","7,",n,NA,n,
1,8:04:16 AM,8:05:57 AM,insemination,",4","0,",n,NA,n,
1,8:04:34 AM,,mount,",7",:7,,,,
1,8:06:44 AM,,mount,",2",",3",,,,
1,8:06:54 AM,,mount,",2",",3",,,,
1,8:07:53 AM,,insemination,",0","3,",n,NA,n,
1,8:08:18 AM,,mount,",1","2,",y,y,NA,
1,8:08:26 AM,,mount,",8",",6",,,,
1,8:09:24 AM,,mount,",7",:7,,,,
1,8:10:26 AM,,mount,",0","6,",y,y,NA,
1,8:13:55 AM,,mount,",9",:1,,,,
1,8:14:13 AM,,mount,",1","5,",n,NA,y,
1,8:14:49 AM,8:18:27 AM,insemination,",1","5,",n,NA,n,
1,8:15:41 AM,,mount,",7",:7,,,,
1,8:16:19 AM,,mount,:1,",9",,,,
1,8:19:10 AM,,mount,",2",",8",,,,
1,8:21:22 AM,,mount,",5",",8",,,,
1,8:21:32 AM,,mount,",5",",8",,,,
1,8:21:39 AM,,mount,",1","7,",y,y,NA,
1,8:23:39 AM,8:27:31 AM,insemination,",0","2,",n,NA,n,
1,8:25:11 AM,,mount,",9",:1,,,,
1,8:32:23 AM,,mount,",8",",5",,,,
1,8:32:37 AM,,mount,",3",",8",,,,
1,8:32:53 AM,,mount,",5",",3",,,,
1,8:42:22 AM,,mount,:7,",7",,,,
1,8:42:29 AM,,mount,",7",:7,,,,
1,8:43:03 AM,8:44:40 AM,insemination,",0","6,",n,NA,n,
1,8:43:45 AM,,mount,:7,",7",,,,
1,8:46:16 AM,,mount,:7,",7",,,,
1,8:54:03 AM,,mount,",0","7,",y,y,NA,
1,9:13:55 AM,,mount,",6","0,",y,y,NA,
1,9:16:29 AM,9:17:25 AM,insemination,:1,"2,",y,n,n,
1,9:19:56 AM,,mount,:1,",9",,,,
1,9:20:11 AM,,insemination,",9","2,",n,NA,n,
1,9:21:52 AM,,mount,",7","0,",y,y,NA,
1,9:23:22 AM,,mount,",2","0,",y,y,NA,
1,9:27:17 AM,,mount,:1,"2,",y,y,NA,
1,9:29:03 AM,,insemination,",5","1,",n,NA,n,
1,9:30:17 AM,,mount,:7,"0,",y,y,NA,
1,9:30:36 AM,,mount,",3",",8",,,,
1,9:30:55 AM,,mount,",8",",5",,,,"while ,5 was inseminating 1,"
1,9:36:01 AM,,mount,",3",",5",,,,
1,9:39:36 AM,9:40:00 AM,insemination,",9","2,",y,n,n,
1,9:41:35 AM,,mount,",7",:7,,,,
1,9:47:21 AM,9:49:52 AM,insemination,",7","2,",n,NA,n,
1,9:54:58 AM,,mount,",3","9,",n,NA,y,
1,10:09:20 AM,,mount,",1","6,",n,NA,y,
1,10:09:55 AM,,mount,",0","6,",n,NA,y,
1,10:15:27 AM,,mount,",5","9,",n,NA,y,
1,10:15:44 AM,,mount,",5",",3",,,,
1,10:18:50 AM,,mount,",7",:7,,,,
1,10:20:51 AM,,mount,;7,",7",,,,
1,10:22:18 AM,,mount,",7",;7,,,,
1,10:22:40 AM,,mount,;7,",7",,,,
1,10:23:37 AM,,mount,",2",;1,,,,
1,10:25:07 AM,,mount,",7",;7,,,,
1,10:26:58 AM,,mount,;7,",7",,,,
1,10:29:27 AM,,mount,",7",;7,,,,
1,10:31:57 AM,,mount,",3",;7,,,,
1,10:31:57 AM,,mount,",5",",3",,,,
1,10:33:22 AM,,mount,",8",;7,,,,
1,10:37:04 AM,,mount,;7,",5",,,,
1,10:38:32 AM,,mount,",5",;7,,,,
1,10:44:01 AM,10:49:22 AM,insemination,",7",1;,n,NA,n,
1,10:53:47 AM,,mount,",3","6,",y,n,y,weird sideways  mount
1,11:05:05 AM,,mount,",8",",3",,,,
1,11:09:36 AM,,mount,",5","0,",n,NA,y,
1,11:30:35 AM,,mount,",5",:7,,,,
1,11:39:39 AM,,mount,:1,",2",,,,
1,12:00:54 PM,,mount,",8",1:00,n,NA,y,
1,12:01:34 PM,12:02:10 PM,insemination,",8","6,",y,n,n,
1,12:30:31 PM,,mount,",8","6,",n,NA,y,
1,12:34:36 PM,,mount,:1,",0",,,,
1,12:35:25 PM,,mount,",5",",8",,,,
1,12:35:45 PM,,mount,",8",:7,,,,
1,12:47:17 PM,,mount,",2",:1,,,,
1,12:47:44 PM,,mount,",5","6,",y,n,y,
1,12:48:44 PM,,mount,",3",",5",,,,
1,12:49:03 PM,,mount,",5","6,",y,n,y,
1,12:49:07 PM,,mount,",3","6,",y,n,y,
1,12:50:20 PM,,mount,",2","0,",y,n,y,
1,12:53:08 PM,12:54:23 PM,insemination,:1,"0,",n,NA,n,
1,12:54:45 PM,12:55:33 PM,insemination,",2","6,",n,NA,n,
1,1:34:41 PM,,mount,",8",",3",,,,
1,1:38:38 PM,,mount,",8",",3",,,,
1,1:38:45 PM,,mount,",3","0,",y,y,NA,
1,1:39:18 PM,1:40:27 PM,insemination,",8","4,",y,n,n,
1,1:41:00 PM,,mount,",5",:7,,,,
1,1:41:28 PM,,mount,",5",",8",,,,
1,1:47:41 PM,,mount,:7,"6,",y,y,NA,
1,1:54:03 PM,,mount,",5",0:00,y,n,y,
1,1:54:34 PM,1:55:02 PM,insemination,",3","9,",y,n,n,
1,2:10:28 PM,,mount,",3",",5",,,,
1,2:18:13 PM,,mount,",0","5,",n,NA,y,
1,2:29:29 PM,,mount,",2",:1,,,,
1,2:29:47 PM,,mount,:1,",2",,,,
1,2:43:05 PM,,mount,",5","7,",y,n,y,
1,2:45:29 PM,,mount,",5",",8",,,,
1,2:46:15 PM,,mount,",5",",8",,,,
1,2:48:05 PM,,mount,:7,"4,",y,n,y,
1,2:49:00 PM,,mount,",8",",3",,,,
1,3:09:15 PM,,mount,",3","6,",y,n,y,
1,3:09:56 PM,,mount,",3","6,",n,NA,y,
1,3:25:20 PM,,mount,",5",",3",,,,
1,3:28:19 PM,,mount,",5","6,",y,y,NA,
1,3:28:22 PM,,mount,",5","6,",y,n,y,
1,3:28:47 PM,,mount,",8","6,",n,NA,y,
1,3:29:54 PM,,mount,",3","8,",n,NA,y,
1,3:31:01 PM,,mount,",5",",7",,,,
1,3:36:23 PM,,mount,:1,"0,",y,n,y,
1,3:37:07 PM,,mount,:1,",2",,,,
1,3:39:23 PM,,mount,",2",:1,,,,
1,3:40:31 PM,,mount,",2",:1,,,,
1,3:44:50 PM,,mount,",0",",5",n,NA,y,
