day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes,,,,
1,8:00:30 AM,,trial start,,,,,,,,,,
1,8:01:13 AM,,mount,",8",",0",,,,,,,,
1,8:01:15 AM,,mount,",0",",8",,,,,,,,
1,8:01:25 AM,8:03:31 AM,insemination,",1",1:,n,NA,n,,,,,
1,8:01:41 AM,8:03:27 AM,insemination,",6","3,",n,NA,n,,,,,
1,8:01:56 AM,,mount,:0,",4",,,,,,,,
1,8:01:57 AM,,mount,",7",:0,,,,,,,,
1,8:02:39 AM,,mount,",4",",4",,,,,,,,
1,8:02:40 AM,,mount,:0,",7",,,,,,,,
1,8:02:40 AM,,mount,:0,",0",,,,,,,,
1,8:02:41 AM,,mount,",7",",0",,,,,,,,
1,8:02:45 AM,,mount,:1,"8,",y,y,NA,,,,,
1,8:03:04 AM,8:06:07 AM,insemination,:1,"2,",n,NA,n,,,,,
1,8:03:43 AM,,mount,",8",",3",,,,,,,,
1,8:03:50 AM,,mount,",1","6,",y,y,NA,,,,,
1,8:04:15 AM,,mount,",8","0,",n,NA,y,,,,,
1,8:04:41 AM,8:06:08 AM,insemination,",9",0:,n,NA,n,,,,,
1,8:05:02 AM,8:07:02 AM,insemination,",4",1:,n,NA,n,,,,,
1,8:05:20 AM,,mount,",1",",6",,,,,,,,
1,8:05:44 AM,,mount,",1",",6",,,,,,,,
1,8:06:39 AM,8:07:39 AM,insemination,",7","2,",n,NA,n,,,,,
1,8:07:22 AM,8:10:21 AM,insemination,:1,"8,",n,NA,n,,,,,
1,8:07:41 AM,8:10:28 AM,insemination,:0,"2,",y,n,n,,,,,
1,8:07:59 AM,8:10:21 AM,insemination,",0","7,",n,NA,n,,,,,
1,8:09:04 AM,,mount,",1","3,",y,y,NA,,,,,
1,8:09:11 AM,8:10:47 AM,insemination,",6","6,",n,NA,n,,,,,
1,8:09:46 AM,,mount,",9",",0",,,,,,,,
1,8:10:00 AM,8:11:41 AM,insemination,",3","5,",n,NA,n,,,,,
1,8:10:30 AM,8:11:27 AM,insemination,",7",0:,n,NA,n,,,,,
1,8:11:04 AM,,mount,",8",",5",,,,,,,,
1,8:11:48 AM,,mount,",4",1:,y,y,NA,,,,,
1,8:12:17 AM,,mount,",5","0,",y,y,NA,,,,,
1,8:12:31 AM,8:13:24 AM,insemination,:0,"7,",n,NA,n,,,,,
1,8:13:29 AM,,mount,:1,"8,",n,NA,y,,,,,
1,8:14:33 AM,8:16:08 AM,insemination,",9","1,",n,NA,n,,,,,
1,8:14:48 AM,,mount,",1",",6",,,,,,,,
