day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,7:00:27 AM,,trial start,,,,,,"daylight savings, had to tape shelter 3 down twice while observing"
1,7:00:36 AM,,mount,",8",",3",,,,
1,7:00:45 AM,7:02:01 AM,insemination,",7","6,",y,n,n,
1,7:01:00 AM,,insemination,:0,"8,",n,NA,n,
1,7:01:12 AM,,mount,",9",",2",,,,
1,7:01:23 AM,7:02:49 AM,insemination,",0","0,",n,NA,n,"male is acting strange, staying on female"
1,7:02:10 AM,7:03:57 AM,insemination,",8",3:00,n,NA,n,stayed on female a long time
1,7:03:22 AM,,insemination,",5","6,",n,NA,n,
1,7:03:39 AM,,mount,",1",:1,,,,
1,7:05:13 AM,,mount,",7",",5",,,,
1,7:05:43 AM,,mount,",7",",5",,,,
1,7:05:51 AM,,mount,",5",",7",,,,
1,7:06:19 AM,,mount,",2",",9",,,,"while ,9 is on ,6"
1,7:06:26 AM,,mount,",9",",6",,,,
1,7:06:31 AM,,mount,",7",",5",,,,
1,7:06:38 AM,7:09:48 AM,insemination,",7","7,",n,NA,n,
1,7:07:30 AM,,mount,:1,",0",,,,"while ,0 is on 0,"
1,7:08:06 AM,,mount,",5",",1",,,,
1,7:08:10 AM,7:09:46 AM,insemination,",5",0:00,n,NA,n,
1,7:08:41 AM,,mount,:0,"8,",y,y,NA,
1,7:09:49 AM,,mount,",1",",7",,,,
1,7:10:40 AM,,insemination,",8",3:00,n,NA,n,
1,7:11:28 AM,,insemination,",1","9,",n,NA,n,
1,7:12:35 AM,,mount,",8","4,",y,n,y,
1,7:13:04 AM,,mount,",8","5,",n,NA,y,
1,7:15:40 AM,,mount,",6",",2",,,,
1,7:18:49 AM,,mount,",8","4,",n,NA,y,
1,7:19:00 AM,,mount,",8",3:00,n,NA,y,
1,7:21:10 AM,,mount,:0,"8,",n,NA,y,
1,7:21:38 AM,7:23:20 AM,insemination,:0,"8,",n,NA,n,
1,7:22:29 AM,,mount,",5","6,",y,n,y,
1,7:22:58 AM,,mount,",8","5,",n,NA,y,
1,7:23:08 AM,,mount,",8",3:00,y,y,NA,
1,7:23:22 AM,,mount,",8","2,",y,y,NA,
1,7:23:29 AM,,mount,",8","2,",n,NA,y,
1,7:23:41 AM,7:24:51 AM,insemination,",3","2,",n,NA,n,
1,7:24:52 AM,,mount,",8","2,",y,n,y,
1,7:25:30 AM,,mount,",8","5,",y,n,y,
1,7:25:59 AM,,mount,",3","5,",n,NA,y,
1,7:26:10 AM,,mount,",3","5,",n,NA,y,
1,7:26:59 AM,,mount,",5",0:00,n,NA,y,
1,7:27:32 AM,,insemination,",8","4,",y,n,n,
1,7:27:42 AM,7:28:45 AM,insemination,",1",0:00,n,NA,n,
1,7:28:46 AM,,mount,",1",",5",,,,
1,7:29:03 AM,7:29:24 AM,insemination,",5",0:00,n,NA,n,
1,7:29:31 AM,,mount,:1,"0,",y,y,NA,
1,7:32:28 AM,,mount,",7",",5",,,,
1,7:33:24 AM,,mount,",5",0:00,y,y,NA,
1,7:33:32 AM,,mount,",7",",5",,,,
1,7:33:39 AM,,mount,",5",0:00,y,y,NA,
1,7:33:49 AM,,mount,",5",0:00,y,y,NA,
1,7:33:53 AM,,mount,",5",0:00,y,y,NA,
1,7:35:34 AM,,mount,",7",",1",,,,
1,7:36:24 AM,,mount,",7",0:00,y,n,y,
1,7:36:36 AM,,mount,",3","5,",n,NA,y,
1,7:36:54 AM,,insemination,",6",0:00,y,n,n,
1,7:38:05 AM,7:38:29 AM,insemination,:0,"8,",n,NA,n,
1,7:42:04 AM,7:43:02 AM,insemination,",3","5,",n,NA,n,
1,7:42:38 AM,,mount,",5","7,",n,NA,y,
1,7:42:44 AM,,mount,",7",",5",,,,"while ,5 on female"
1,7:42:50 AM,,mount,",1",",7",,,,
1,7:43:11 AM,,mount,",1","7,",n,NA,y,
1,7:43:22 AM,,mount,",6",",2",,,,
1,7:44:53 AM,,mount,",6",",9",,,,
1,7:45:34 AM,,mount,",2",0:00,n,NA,y,
1,7:45:47 AM,,mount,",9",0:00,n,NA,y,
1,7:45:57 AM,,mount,",8","6,",n,NA,y,
1,7:47:08 AM,,mount,",0",0:00,n,NA,y,
1,7:51:34 AM,,mount,:0,"8,",n,NA,y,
