replicate,ID,treatment,day,inseminations,mounts,male_mounts,female_mounts,mounts_evaded,attempted_avoid,mounts_aborted,mounts_choice,abort_rate,avoid_success_rate,prop_attempt_avoid,prop_male,prop_avoided,prop_successful,prop_success_female_only
2,",0",social,1,1,12,4,8,1,5,6,7,0.857142857,0.2,0.625,0.333333333,0.125,0.083333333,0.125
2,",0",social,2,2,10,3,7,3,5,2,4,0.5,0.6,0.714285714,0.3,0.428571429,0.2,0.285714286
2,",0",social,both,3,22,7,15,4,10,8,11,0.727272727,0.4,0.666666667,0.318181818,0.266666667,0.136363636,0.2
2,",2",social,1,1,3,2,1,0,0,0,1,0,NA,0,0.666666667,0,0.333333333,1
2,",2",social,2,0,7,7,0,0,0,0,0,NA,NA,NA,1,NA,0,NA
2,",2",social,both,1,10,9,1,0,0,0,1,0,NA,0,0.9,0,0.1,1
2,",3",isolated,1,2,14,8,6,0,2,4,6,0.666666667,0,0.333333333,0.571428571,0,0.142857143,0.333333333
2,",3",isolated,2,4,10,4,6,2,5,0,4,0,0.4,0.833333333,0.4,0.333333333,0.4,0.666666667
2,",3",isolated,both,6,24,12,12,2,7,4,10,0.4,0.285714286,0.583333333,0.5,0.166666667,0.25,0.5
2,",4",isolated,1,5,29,13,16,3,11,8,13,0.615384615,0.272727273,0.6875,0.448275862,0.1875,0.172413793,0.3125
2,",4",isolated,2,1,8,6,2,0,1,1,2,0.5,0,0.5,0.75,0,0.125,0.5
2,",4",isolated,both,6,37,19,18,3,12,9,15,0.6,0.25,0.666666667,0.513513514,0.166666667,0.162162162,0.333333333
2,",5",isolated,1,2,18,10,8,2,5,4,6,0.666666667,0.4,0.625,0.555555556,0.25,0.111111111,0.25
2,",5",isolated,2,0,6,4,2,1,2,1,1,1,0.5,1,0.666666667,0.5,0,0
2,",5",isolated,both,2,24,14,10,3,7,5,7,0.714285714,0.428571429,0.7,0.583333333,0.3,0.083333333,0.2
2,",6",social,1,1,4,0,4,3,3,0,1,0,1,0.75,0,0.75,0.25,0.25
2,",6",social,2,1,9,3,6,5,6,0,1,0,0.833333333,1,0.333333333,0.833333333,0.111111111,0.166666667
2,",6",social,both,2,13,3,10,8,9,0,2,0,0.888888889,0.9,0.230769231,0.8,0.153846154,0.2
2,",7",social,1,2,5,2,3,0,1,1,3,0.333333333,0,0.333333333,0.4,0,0.4,0.666666667
2,",7",social,2,2,4,0,4,0,1,2,4,0.5,0,0.25,0,0,0.5,0.5
2,",7",social,both,4,9,2,7,0,2,3,7,0.428571429,0,0.285714286,0.222222222,0,0.444444444,0.571428571
2,",8",isolated,1,3,18,9,9,3,3,1,4,0.25,1,0.333333333,0.5,0.333333333,0.166666667,0.333333333
2,",8",isolated,2,1,5,4,1,0,1,0,1,0,0,1,0.8,0,0.2,1
2,",8",isolated,both,4,23,13,10,3,4,1,5,0.2,0.75,0.4,0.565217391,0.3,0.173913043,0.4
2,:1,social,1,1,6,3,3,0,2,2,3,0.666666667,0,0.666666667,0.5,0,0.166666667,0.333333333
2,:1,social,2,1,4,2,2,0,2,1,2,0.5,0,1,0.5,0,0.25,0.5
2,:1,social,both,2,10,5,5,0,4,3,5,0.6,0,0.8,0.5,0,0.2,0.4
2,:7,isolated,1,3,10,5,5,1,1,1,4,0.25,1,0.2,0.5,0.2,0.3,0.6
2,:7,isolated,2,1,7,2,5,2,4,2,3,0.666666667,0.5,0.8,0.285714286,0.4,0.142857143,0.2
2,:7,isolated,both,4,17,7,10,3,5,3,7,0.428571429,0.6,0.5,0.411764706,0.3,0.235294118,0.4
2,:9,isolated,1,2,15,9,6,1,1,3,5,0.6,1,0.166666667,0.6,0.166666667,0.133333333,0.333333333
2,:9,isolated,2,0,5,1,4,3,3,1,1,1,1,0.75,0.2,0.75,0,0
2,:9,isolated,both,2,20,10,10,4,4,4,6,0.666666667,1,0.4,0.5,0.4,0.1,0.2
1,",0",isolated,1,3,27,6,21,11,13,7,10,0.7,0.846153846,0.619047619,0.222222222,0.523809524,0.111111111,0.142857143
1,",0",isolated,2,1,16,6,10,1,1,8,8,1,1,0.1,0.375,0.1,0.0625,0.1
1,",0",isolated,both,4,43,12,31,12,14,15,18,0.833333333,0.857142857,0.451612903,0.279069767,0.387096774,0.093023256,0.129032258
1,",1",social,1,4,18,4,14,5,7,5,9,0.555555556,0.714285714,0.5,0.222222222,0.357142857,0.222222222,0.285714286
1,",1",social,2,0,3,2,1,1,1,0,0,NA,1,1,0.666666667,1,0,0
1,",1",social,both,4,21,6,15,6,8,5,9,0.555555556,0.75,0.533333333,0.285714286,0.4,0.19047619,0.266666667
1,",3",social,1,2,22,3,19,9,12,7,9,0.777777778,0.75,0.631578947,0.136363636,0.473684211,0.090909091,0.105263158
1,",3",social,2,0,14,8,6,1,1,5,5,1,1,0.166666667,0.571428571,0.166666667,0,0
1,",3",social,both,2,36,11,25,10,13,12,14,0.857142857,0.769230769,0.52,0.305555556,0.4,0.055555556,0.08
1,",5",social,1,1,10,6,4,1,2,2,3,0.666666667,0.5,0.5,0.6,0.25,0.1,0.25
1,",5",social,2,1,26,9,17,1,3,14,15,0.933333333,0.333333333,0.176470588,0.346153846,0.058823529,0.038461538,0.058823529
1,",5",social,both,2,36,15,21,2,5,16,18,0.888888889,0.4,0.238095238,0.416666667,0.095238095,0.055555556,0.095238095
1,",6",isolated,1,3,29,14,15,1,4,10,14,0.714285714,0.25,0.266666667,0.482758621,0.066666667,0.103448276,0.2
1,",6",isolated,2,0,16,9,7,0,1,7,7,1,0,0.142857143,0.5625,0,0,0
