group,replicate,day,time,members,notes
1,1,1,900,B P,
2,1,1,1000,I P,
3,1,1,1100,I P,
4,1,1,1100,A L,
5,1,1,1200,I C P,
6,1,1,1200,H G,
7,1,1,1200,A L,
8,1,1,1300,E D P I,
9,1,1,1300,G H,
10,1,1,1300,A L,
11,1,1,1300,B K,
12,1,1,1400,I P,
13,1,1,1400,C D E,
14,1,1,1400,J H,
15,1,1,1400,G A L,
16,1,1,1500,I P,
17,1,1,1500,D E C,
18,1,1,1500,H J,
19,1,1,1500,G A L,
20,1,1,1600,C E,
21,1,1,1600,I P,
22,1,1,1600,K M,
23,1,1,1600,H J,
24,1,1,1600,A L G,
25,1,2,800,I E P D J C,
26,1,2,800,G A L,
27,1,2,800,F B,
28,1,2,900,P I C J D E,
29,1,2,900,A G L,
30,1,2,900,B F,
31,1,2,1000,K C,
32,1,2,1000,I P J D,
33,1,2,1000,A L,
34,1,2,1000,O F,
35,1,2,1100,K C E,
36,1,2,1100,P I J D,
37,1,2,1100,A L G H,
38,1,2,1200,C K,
39,1,2,1200,I P J D,
40,1,2,1200,O F,
41,1,2,1200,H G,
42,1,2,1300,E K,
43,1,2,1300,I D C P J,
44,1,2,1300,L G,
45,1,2,1400,K E,
46,1,2,1400,J P I D,
47,1,2,1400,G A L,
48,1,2,1500,P H,
49,1,2,1500,L G A,
50,1,2,1600,C D,
51,1,2,1600,M O,
52,1,2,1600,B F,
53,1,2,1600,L A H P G,
54,2,1,900,H J,
55,2,1,1000,F G O A,
56,2,1,1000,K L,
57,2,1,1000,B E,
58,2,1,1000,I M,
59,2,1,1100,G F O,
60,2,1,1100,K L,
61,2,1,1100,I C B H D,
62,2,1,1200,F O,
63,2,1,1200,K L,
64,2,1,1200,B H I D C,
65,2,1,1300,O F,
66,2,1,1300,E C,
67,2,1,1300,B H,
68,2,1,1300,I D,
69,2,1,1400,M K,
70,2,1,1400,E D C J,
71,2,1,1500,B H,
72,2,1,1600,O K,
73,2,1,1600,J C H,
74,2,1,1600,B E D,
75,2,2,800,F I,
76,2,2,800,L N,
77,2,2,800,K B,
78,2,2,800,M G H D E C A,
79,2,2,900,L N,
80,2,2,900,M G H D C A E,
81,2,2,1000,O K,
82,2,2,1000,L B N,
83,2,2,1000,H E D A C G J,
84,2,2,1100,B L N,
85,2,2,1100,E C A G,
86,2,2,1100,H D,
87,2,2,1200,P O,
88,2,2,1200,D G,
89,2,2,1400,G D,
90,2,2,1500,L K,
91,2,2,1600,J B,
92,2,2,1600,A I,
93,2,2,1600,L K,
94,3,1,900,I C,
95,3,1,900,B A,
96,3,1,900,M K,
97,3,1,1000,H G,
98,3,1,1000,B P D,
99,3,1,1100,N I,
100,3,1,1100,A P,
