group,replicate,day,time,location,members,notes
1,1,1,900,1,C I,female soc. exp.
2,1,1,900,3,A L H,
3,1,1,900,4,F J O,
4,1,1,1000,1,E C I P,
5,1,1,1000,2,D M,
6,1,1,1000,3,L A G H,
7,1,1,1000,4,J F O,
8,1,1,1100,1,I P E C,
9,1,1,1100,2,M D,
10,1,1,1100,3,A L G H,
11,1,1,1100,4,J B F O,
12,1,1,1200,1,I C P E,
13,1,1,1200,2,M D,
14,1,1,1200,3,A L H G,
15,1,1,1200,4,B F O J,
16,1,1,1300,1,E D P I C,
17,1,1,1300,3,A L G H,
18,1,1,1300,4,K B F,
19,1,1,1400,1,I P C D E,
20,1,1,1400,3,A L G J H,
21,1,1,1400,4,K B F,
22,1,1,1500,1,I P D E C,
23,1,1,1500,2,K N M,
24,1,1,1500,3,L A G H J,
25,1,1,1500,4,B F,
26,1,1,1600,1,C E D I P,
27,1,1,1600,2,K M N,
28,1,1,1600,3,L A G H J,
29,1,1,1600,4,B F,
30,1,2,800,1,K I E P D J C,
31,1,2,800,2,M N,
32,1,2,800,3,L A G H,
33,1,2,800,4,F B O,
34,1,2,900,1,K P I C J D E,
35,1,2,900,2,M N,
36,1,2,900,3,A G L H,
37,1,2,900,4,B F O,
38,1,2,1000,1,K C E I P J D,
39,1,2,1000,2,M N,
40,1,2,1000,3,L A G H,
41,1,2,1000,4,B F O,
42,1,2,1100,1,K E C P I D J,
43,1,2,1100,2,M N,
44,1,2,1100,3,A L G H,
45,1,2,1100,4,B O F,
46,1,2,1200,1,C K E I P J D,
47,1,2,1200,2,M N,
48,1,2,1200,3,L H G A,
49,1,2,1200,4,B F O,
50,1,2,1300,1,E K I J P D C,
51,1,2,1300,2,M N,
52,1,2,1300,3,L G A H,
53,1,2,1300,4,B F O,
54,1,2,1400,1,K E J P I D C,
55,1,2,1400,2,M N,
56,1,2,1400,3,G L A H,
57,1,2,1400,4,O F B,
58,1,2,1500,1,K E D J I C,
59,1,2,1500,2,B M F N O,
60,1,2,1500,3,L G A,
