,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,1,0.65,0.941176471,0,0,0,0,0,0,0,0,0,0,0
J,0.103448276,0.071428571,0.333333333,0.347826087,0.347826087,0.142857143,0.107142857,0.107142857,0,0,0,0,0,0,0,0
K,0,0.076923077,0.428571429,0.45,0.45,0.071428571,0,0,0,0,0,0,0,0,0,0
L,1,0,0,0,0,0,0.941176471,0.941176471,0,0,0,0,0,0,0,0
M,0,0.074074074,0,0.111111111,0,0.068965517,0,0,0,0,0,0,0,0,0,0
N,0,0.083333333,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
O,0,0.647058824,0,0,0,0.764705882,0,0,0,0,0,0,0,0,0,0
P,0.032258065,0,0.777777778,0.55,0.823529412,0,0.033333333,0.033333333,0,0,0,0,0,0,0,0
