,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,patch_partner,treatment,,,
2,1,8:04:23 AM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
3,1,8:05:57 AM,,",4","8,",n,NA,n,insemination,checked footage and validated,D,P,isolated,,,
5,1,8:07:00 AM,,",2","1,",n,NA,n,insemination,checked footage and validated,B,J,social,,,
6,1,8:07:00 AM,,",3","9,",n,NA,n,insemination,checked footage and validated,C,N,isolated,,,
8,1,8:10:01 AM,,",5","1,",n,NA,n,insemination,checked footage and validated,E,J,social,,,
9,1,8:10:12 AM,,",2","9,",n,NA,y,mount,checked footage and validated,B,N,isolated,,,
13,1,8:12:32 AM,,",3","1,",n,NA,y,mount,,C,J,social,,,
14,1,8:12:53 AM,,",4","4,",n,NA,y,mount,,D,O,isolated,,,
17,1,8:15:31 AM,8:16:57 AM,",9","9,",n,NA,n,insemination,,H,N,isolated,,,
19,1,8:16:18 AM,8:16:43 AM,",7","7,",n,NA,n,insemination,,F,I,social,,,
20,1,8:18:49 AM,,",9","7,",n,NA,y,mount,weird - not in position,H,I,social,,,
21,1,8:19:41 AM,,",3","1,",n,NA,y,mount,,C,J,social,,,
23,1,8:24:25 AM,,",2","1,",N,NA,Y,mount,,B,J,social,,,
25,1,8:28:35 AM,,",2","0,",n,NA,y,mount,,B,M,isolated,,,
26,1,8:29:15 AM,,",2","9,",n,NA,y,mount,,B,N,isolated,,,
27,1,8:30:27 AM,,",2","1,",n,NA,y,mount,,B,J,social,,,
28,1,8:32:36 AM,8:33:23 AM,",5","9,",n,NA,n,insemination,,E,N,isolated,,,
29,1,8:36:19 AM,8:36:48 AM,",7","0,",n,NA,n,insemination,,F,M,isolated,,,
40,1,8:48:03 AM,,",4","1,",n,NA,y,mount,,D,J,social,,,
41,1,8:53:06 AM,,",2","1,",n,NA,y,mount,,B,J,social,,,
43,1,8:55:01 AM,,",2","1,",n,NA,y,mount,,B,J,social,,,
44,1,9:01:18 AM,,",2","0,",n,NA,y,mount,,B,M,isolated,,,
45,1,9:01:38 AM,9:02:01 AM,",2","7,",n,NA,n,insemination,,B,I,social,,,
47,1,9:07:11 AM,,",3","1,",n,NA,y,mount,,C,J,social,,,
48,1,9:27:28 AM,,",9","7,",n,NA,y,mount,,H,I,social,,,
51,1,9:37:33 AM,,",4","5,",n,NA,y,mount,,D,K,social,,,
52,1,9:38:44 AM,9:40:55 AM,",3","5,",n,NA,n,insemination,,C,K,social,,,
53,1,9:39:50 AM,,",9","9,",n,NA,y,mount,,H,N,isolated,,,
54,1,9:43:04 AM,,",2","5,",n,NA,y,mount,,B,K,social,,,
56,1,9:44:57 AM,9:46:07 AM,",9","9,",n,NA,n,insemination,"odd, they have beem on top of each other for a long time, potentially getting in and out of position, I believe this was insemination though",H,N,isolated,,,
57,1,10:00:57 AM,10:02:38 AM,",0","4,",n,NA,n,insemination,Weird position but I think insemination,A,O,isolated,,,
58,1,10:16:59 AM,,",0","4,",n,NA,y,mount,,A,O,isolated,,,
60,1,12:16:00 PM,12:16:22 PM,",0","0,",n,NA,n,insemination,,A,M,isolated,,,
65,1,1:38:30 PM,,",5","1,",n,NA,n,insemination,,E,J,social,,,
69,1,1:51:12 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
71,1,2:20:03 PM,2:20:30 PM,",2","7,",n,NA,n,insemination,,B,I,social,,,
7,1,8:07:00 AM,,",8","4,",y,n,n,insemination,checked footage and validated,G,O,isolated,,,
10,1,8:10:27 AM,8:11:00 AM,",7","4,",y,n,n,insemination,checked footage and validated,F,O,isolated,,,
11,1,8:11:12 AM,,",2","9,",y,n,y,mount,,B,N,isolated,,,
15,1,8:13:13 AM,,",2","0,",y,n,y,mount,,B,M,isolated,,,
37,1,8:44:14 AM,,",7","9,",y,n,y,mount,,F,N,isolated,,,
63,1,1:17:58 PM,,",9","0,",y,n,y,mount,,H,M,isolated,,,
66,1,1:43:21 PM,,",3","1,",y,n,y,mount,,C,J,social,,,
68,1,1:45:28 PM,1:46:14 PM,",2","1,",y,n,n,insemination,,B,J,social,,,
70,1,2:19:40 PM,2:20:15 PM,",0","0,",y,n,n,insemination,,A,M,isolated,,,
72,1,2:26:53 PM,,",7","4,",y,n,y,mount,,F,O,isolated,,,
73,1,2:33:22 PM,,",0","9,",y,n,y,mount,,A,N,isolated,,,
74,1,2:54:23 PM,2:55:01 PM,",4","9,",y,n,n,insemination,,D,N,isolated,,,
75,1,3:35:52 PM,,",0","7,",y,NA,y,mount,,A,I,social,,,
76,1,3:43:50 PM,3:44:54 PM,",0","9,",y,n,n,insemination,,A,N,isolated,,,
1,1,8:04:10 AM,,",2","9,",y,y,NA,mount,,B,N,isolated,,,
4,1,8:06:59 AM,,",5","1,",y,y,NA,mount,,E,J,social,,,
12,1,unsure,,",3","1,",y,y,NA,mount,added from footage,C,J,social,,,
16,1,8:14:23 AM,,",2","7,",y,y,NA,mount,,B,I,social,,,
18,1,8:15:38 AM,,",3","1,",y,y,NA,mount,,C,J,social,,,
22,1,8:22:15 AM,,",7","0,",Y,Y,NA,mount,,F,M,isolated,,,
24,1,8:25:28 AM,,",3","9,",Y,Y,NA,mount,,C,N,isolated,,,
30,1,8:36:37 AM,,",9","7,",y,y,NA,mount,,H,I,social,,,
31,1,8:37:10 AM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
32,1,8:39:35 AM,,",2","1,",y,y,NA,mount,,B,J,social,,,
33,1,8:39:42 AM,,",3","1,",y,y,NA,mount,,C,J,social,,,
34,1,8:40:13 AM,,",0","0,",y,y,NA,mount,,A,M,isolated,,,
35,1,8:42:46 AM,,",0","1,",y,y,NA,mount,,A,J,social,,,
36,1,8:43:25 AM,,",0","1,",y,y,NA,mount,,A,J,social,,,
38,1,8:44:57 AM,,",9","9,",y,y,NA,mount,,H,N,isolated,,,
39,1,8:47:06 AM,,",4","0,",y,y,NA,mount,,D,M,isolated,,,
42,1,8:53:17 AM,,",3","7,",y,y,NA,mount,,C,I,social,,,
46,1,9:03:28 AM,,",2","0,",y,y,NA,mount,,B,M,isolated,,,
49,1,9:31:36 AM,,",8","4,",y,y,NA,mount,,G,O,isolated,,,
50,1,9:35:05 AM,,",9","5,",y,y,NA,mount,,H,K,social,,,
55,1,9:43:32 AM,,",2","5,",y,y,NA,mount,,B,K,social,,,
59,1,10:39:08 AM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
61,1,1:15:33 PM,,",9","0,",y,y,NA,mount,,H,M,isolated,,,
62,1,1:16:12 PM,,",2","0,",y,y,NA,mount,,B,M,isolated,,,
64,1,1:20:30 PM,,",3","7,",y,y,NA,mount,,C,I,social,,,
67,1,1:44:58 PM,,",3","1,",y,y,NA,mount,,C,J,social,,,
77,1,3:45:59 PM,,",0","9,",y,y,NA,mount,weird,A,N,isolated,,,
78,2,8:17:27 AM,,",2","5,",n,NA,y,mount,,B,K,social,,,
79,2,8:32:12 AM,,",2","5,",n,NA,y,mount,,B,K,social,,,
83,2,9:39:51 AM,,",7","7,",n,NA,y,mount,unsure,F,I,social,,,
84,2,9:46:08 AM,,",2","6,",n,NA,y,mount,,B,L,social,,,
