"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","patch_partner","treatment"
"1",1,"8:02:41 AM","",",1","5,","n",NA,"y","mount","","B","J","social"
"2",1,"8:04:27 AM","",",9","9,","y","y",NA,"mount","","H","L","social"
"3",1,"8:04:35 AM","",",4","1,","y","y",NA,"mount","","D","N","isolated"
"4",1,"8:04:43 AM","8:05:35 AM",",5","1,","y",NA,"n","insemination","","E","N","isolated"
"5",1,"8:05:59 AM","",",7","1,","y","y",NA,"mount","","F","N","isolated"
"6",1,"8:06:25 AM","",",8","0,","y","y",NA,"mount","","G","M","isolated"
"7",1,"8:06:35 AM","",",5","1,","y","y",NA,"mount","","E","N","isolated"
"8",1,"8:06:48 AM","",",6","9,","y","y",NA,"mount","","C","L","social"
"9",1,"8:08:00 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"10",1,"8:08:09 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"11",1,"8:08:58 AM","",",5","1,","y","n","y","mount","","E","N","isolated"
"12",1,"8:11:01 AM","8:11:44 AM",",4","7,","","","","insemination","check footage for whether female avoided","D","P","isolated"
"13",1,"8:13:00 AM","",",9","9,","y","y",NA,"mount","","H","L","social"
"14",1,"8:14:05 AM","8:17:23 AM",",9","7,","n",NA,"n","insemination","","H","P","isolated"
"15",1,"8:14:33 AM","",",5","5,","y","y",NA,"mount","check footage","E","J","social"
"16",1,"8:15:02 AM","",",8","9,","n",NA,"y","mount","","G","L","social"
"17",1,"8:15:59 AM","",",4","2,","y","y",NA,"mount","","D","I","social"
"18",1,"8:17:40 AM","",",8","9,","y","y",NA,"mount","","G","L","social"
"19",1,"8:17:56 AM","8:20:46 AM",",0","7,","y","n","n","insemination","check footage","A","P","isolated"
"20",1,"8:19:43 AM","",",4","2,","y","y",NA,"mount","","D","I","social"
"21",1,"8:21:07 AM","",",5","5,","n",NA,"","mount","check footage; unclear if this was an insemination","E","J","social"
"22",1,"8:21:18 AM","",",9","2,","y","y",NA,"mount","","H","I","social"
"23",1,"8:22:05 AM","",",0","7,","n",NA,"y","mount","check footage","A","P","isolated"
"24",1,"8:23:25 AM","",",5","5,","y","y",NA,"mount","","E","J","social"
"25",1,"8:24:17 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"26",1,"8:27:36 AM","",",4","5,","y","y",NA,"mount","","D","J","social"
"27",1,"8:28:52 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"28",1,"8:30:13 AM","",",8","7,","y","y",NA,"mount","","G","P","isolated"
"29",1,"8:32:02 AM","",",8","2,","n",NA,"y","mount","","G","I","social"
"30",1,"8:35:02 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"31",1,"8:36:00 AM","",",8","2,","y","y",NA,"mount","","G","I","social"
"32",1,"8:38:00 AM","",",6","2,","y","y",NA,"mount","","C","I","social"
"33",1,"8:47:14 AM","",",8","0,","n",NA,"y","mount","","G","M","isolated"
"34",1,"8:47:26 AM","",",5","1,","y","y",NA,"mount","","E","N","isolated"
"35",1,"8:49:59 AM","8:50:23 AM",",9","1,","n",NA,"n","insemination","","H","N","isolated"
"36",1,"8:51:03 AM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"37",1,"8:52:21 AM","",",9","1,","y","y",NA,"mount","","H","N","isolated"
"38",1,"8:52:42 AM","8:54:24 AM",",9","0,","n",NA,"n","insemination","","H","M","isolated"
"39",1,"8:54:38 AM","",",5","0,","n",NA,"n","insemination","","E","M","isolated"
"40",1,"9:01:33 AM","",",8","0,","y","y",NA,"mount","","G","M","isolated"
"41",1,"9:12:57 AM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"42",1,"9:14:56 AM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"43",1,"9:22:50 AM","",",6","5,","n",NA,"y","mount","","C","J","social"
"44",1,"9:28:06 AM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"45",1,"9:30:23 AM","",",6","5,","y","y",NA,"mount","","C","J","social"
"46",1,"9:35:39 AM","",",6","1,","n",NA,"y","mount","","C","N","isolated"
"47",1,"9:40:07 AM","",",8","5,","y","n","y","mount","","G","J","social"
"48",1,"9:41:28 AM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"49",1,"9:46:24 AM","",",1","7,","y","y",NA,"mount","","B","P","isolated"
"50",1,"9:49:12 AM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"51",1,"9:54:50 AM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"52",1,"10:01:12 AM","",",8","5,","n",NA,"y","mount","","G","J","social"
"53",1,"10:03:16 AM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"54",1,"10:14:32 AM","",",8","5,","n",NA,"y","mount","","G","J","social"
"55",1,"10:21:55 AM","",",6","1,","y","n","y","mount","","C","N","isolated"
"56",1,"10:29:22 AM","",",8","5,","y","y",NA,"mount","","G","J","social"
"57",1,"10:39:04 AM","",",6","4,","n",NA,"y","mount","","C","O","isolated"
"58",1,"11:01:18 AM","",",0","7,","y","y",NA,"mount","","A","P","isolated"
"59",1,"11:09:54 AM","",",6","4,","y","y",NA,"mount","","C","O","isolated"
"60",1,"11:12:00 AM","",",1","4,","y","y",NA,"mount","","B","O","isolated"
"61",1,"11:12:29 AM","",",8","7,","y","y",NA,"mount","","G","P","isolated"
"62",1,"11:20:28 AM","",",1","4,","y","y",NA,"mount","","B","O","isolated"
"63",1,"11:26:44 AM","",",1","4,","y","y",NA,"mount","","B","O","isolated"
"64",1,"11:33:02 AM","",",1","4,","y","y",NA,"mount","","B","O","isolated"
"65",1,"11:37:31 AM","",",8","7,","y","y",NA,"mount","","G","P","isolated"
"66",1,"11:45:12 AM","",",8","6,","y","n","y","mount","","G","K","social"
"67",1,"11:50:11 AM","",",8","6,","y","n","y","mount","","G","K","social"
"68",1,"11:50:38 AM","",",8","5,","y","n","y","mount","","G","J","social"
"69",1,"11:52:31 AM","",",8","6,","y","n","y","mount","","G","K","social"
"70",1,"11:53:38 AM","",",8","6,","y","y",NA,"mount","","G","K","social"
"71",1,"11:53:46 AM","",",8","6,","y","n","y","mount","","G","K","social"
"72",1,"11:54:53 AM","",",8","7,","y","n","y","mount","","G","P","isolated"
"73",1,"11:55:59 AM","",",8","6,","n",NA,"y","mount","","G","K","social"
"74",1,"11:57:36 AM","",",8","6,","n",NA,"y","mount","","G","K","social"
"75",1,"12:03:19 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"76",1,"11:58:53 AM","",",8","7,","y","n","y","mount","","G","P","isolated"
"77",1,"12:01:34 PM","",",8","7,","y","n","y","mount","","G","P","isolated"
"78",1,"12:02:04 PM","",",8","6,","y","n","y","mount","","G","K","social"
"79",1,"12:03:25 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"80",1,"12:04:05 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"81",1,"12:06:24 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"82",1,"12:07:43 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"83",1,"12:10:53 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"84",1,"12:11:08 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"85",1,"12:11:26 PM","",",8","6,","n",NA,"y","mount","","G","K","social"
"86",1,"12:29:53 PM","",",0","4,","y","y",NA,"mount","","A","O","isolated"
"87",1,"12:33:49 PM","",",1","7,","y","y",NA,"mount","","B","P","isolated"
"88",1,"12:51:00 PM","12:51:50 PM",",9","5,","y","n","n","insemination","","H","J","social"
"89",1,"1:14:22 PM","",",8","7,","n",NA,"y","mount","","G","P","isolated"
"90",1,"1:15:40 PM","",",8","7,","y","y",NA,"mount","","G","P","isolated"
