day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:00:45 AM,,,,,,,trial start,
1,8:01:31 AM,8:02:37 AM,",0","7,",n,NA,n,insemination,
1,8:07:42 AM,,",3","7,",y,y,NA,mount,
1,8:08:06 AM,8:08:28 AM,",2","7,",n,NA,n,insemination,
1,no time,,",6","4,",y,y,NA,mount,
1,8:11:21 AM,,",6","4,",y,y,NA,mount,check footage for what happened
1,8:14:12 AM,,",0","8,",n,NA,y,mount,
1,8:14:33 AM,8:15:21 AM,",6","0,",n,NA,n,insemination,
1,8:29:03 AM,,",5","8,",n,NA,y,mount,
1,8:30:43 AM,,",6","7,",y,n,y,mount,
1,8:31:53 AM,,",2","0,",n,NA,y,mount,
1,8:35:09 AM,,",1","3,",y,y,NA,mount,get female ID later
1,8:45:16 AM,,",4","9,",y,y,NA,mount,
1,8:51:45 AM,,",1","6,",y,y,NA,mount,
1,9:00:20 AM,,",5","6,",y,y,NA,mount,
1,9:06:42 AM,9:07:09 AM,",6","3,",n,NA,n,insemination,
1,9:14:21 AM,,",7","9,",y,y,NA,mount,
1,10:06:47 AM,,",4","8,",n,NA,y,mount,
1,10:10:08 AM,,",4","8,",n,NA,y,mount,
1,10:30:19 AM,10:32:20 AM,",4","6,",n,NA,n,insemination,
1,11:04:48 AM,,",4","6,",n,NA,y,mount,
1,11:16:41 AM,,",4","8,",n,NA,y,mount,
1,11:19:10 AM,,",4","6,",n,NA,y,mount,
1,11:21:06 AM,,",4","6,",y,n,y,mount,
1,11:24:37 AM,,",4","6,",y,n,y,mount,
1,11:31:20 AM,,",4","6,",n,NA,y,mount,
1,11:47:51 AM,,",4","6,",n,NA,y,mount,
1,12:00:00 PM,,",4","8,",n,NA,y,mount,
1,12:22:09 PM,12:23:09 PM,",7","9,",n,NA,n,insemination,
1,12:31:47 PM,,",4","8,",n,NA,y,mount,
1,12:54:01 PM,,",4","8,",n,NA,y,mount,
1,1:07:21 PM,,",4","6,",y,n,y,mount,
1,1:13:31 PM,,",4","8,",n,NA,y,mount,
1,1:23:09 PM,,",0","5,",y,n,y,mount,
1,1:24:48 PM,,",0","4,",y,n,y,mount,
1,1:29:36 PM,,",0","5,",y,n,y,mount,
1,1:31:49 PM,,",0","6,",n,NA,y,mount,
1,1:36:17 PM,,",0","4,",n,NA,y,mount,
1,1:44:58 PM,,",1","5,",y,y,NA,mount,
1,1:46:50 PM,,",7","7,",y,y,NA,mount,
1,1:47:25 PM,,",6","0,",n,NA,y,mount,
1,1:53:38 PM,,",7","4,",y,y,NA,mount,
1,1:55:01 PM,,",7","9,",y,n,y,mount,
1,1:56:33 PM,,",1","9,",n,NA,y,mount,
1,2:13:33 PM,2:14:17 PM,",4","7,",n,NA,n,insemination,
1,2:20:39 PM,,",4","9,",y,y,NA,mount,
1,2:24:03 PM,,",7","4,",y,y,NA,mount,
1,2:24:53 PM,,",7","7,",y,n,y,mount,
1,2:44:05 PM,,",7","7,",y,y,NA,mount,
1,3:05:56 PM,,",1","9,",n,NA,y,mount,
1,3:27:24 PM,,",1","5,",n,NA,y,mount,
1,3:46:04 PM,3:46:39 PM,",0","0,",n,NA,n,insemination,
1,3:47:33 PM,,",7","7,",y,y,NA,mount,
2,9:03:09 AM,9:04:43 AM,",6","5,",y,n,n,insemination,
2,10:36:43 AM,,",6","5,",n,NA,y,mount,
2,10:39:10 AM,,",6","5,",y,n,y,mount,
2,11:01:30 AM,11:02:27 AM,",6","7,",n,NA,n,insemination,
2,11:27:00 AM,,",0","5,",y,y,NA,mount,
2,11:27:03 AM,,",0","5,",y,y,NA,mount,
2,11:37:00 AM,11:37:54 AM,",0","5,",y,n,n,insemination,
2,11:38:39 AM,,",4","5,",y,y,NA,mount,
2,11:39:06 AM,11:39:59 AM,",2","5,",n,NA,n,insemination,
2,11:41:30 AM,,",3","5,",y,y,NA,mount,
2,11:42:54 AM,,",4","5,",y,n,y,mount,
2,11:56:19 AM,,",5","8,",n,NA,y,mount,
2,12:00:32 PM,,",5","9,",n,NA,y,mount,
2,12:02:17 PM,,",5","8,",n,NA,y,mount,
2,12:04:37 PM,,",5","9,",n,NA,y,mount,
2,12:07:50 PM,,",0","6,",y,y,NA,mount,
2,12:09:49 PM,,",5","4,",n,NA,y,mount,
2,12:10:07 PM,,",5","4,",n,NA,y,mount,
2,12:11:27 PM,,",5","4,",n,NA,y,mount,
2,12:12:45 PM,,",5","8,",n,NA,y,mount,
2,12:14:19 PM,,",5","6,",n,NA,y,mount,
2,12:14:53 PM,,",5","6,",y,y,NA,mount,
2,12:14:56 PM,,",5","6,",y,n,y,mount,
2,12:16:14 PM,,",5","7,",y,y,NA,mount,
2,12:20:41 PM,,",5","4,",n,NA,y,mount,
2,12:22:15 PM,,",5","9,",n,NA,y,mount,
2,12:23:10 PM,,",5","9,",n,NA,y,mount,
2,12:23:49 PM,,",5","8,",y,y,NA,mount,
2,12:25:27 PM,,",5","9,",n,NA,y,mount,
2,12:25:47 PM,,",5","8,",n,NA,y,mount,
2,12:27:23 PM,,",5","7,",n,NA,y,mount,
