,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,X,partner_sex,,
168,1,8:10:30 AM,8:11:02 AM,insemination,",0","4,",y,n,n,,A,social,Q,NA,female,,
148,1,9:38:01 AM,,mount,",0","2,",y,n,n,,A,social,O,NA,female,,
3,1,1:29:52 PM,1:30:42 PM,insemination,",4",1:00,y,n,n,,D,social,X,NA,female,,
175,1,12:39:39 PM,12:40:06 PM,insemination,",6","4,",y,n,n,,H,isolated,Q,NA,female,,
5,1,8:02:24 AM,8:04:36 AM,insemination,",7",1:00,n,NA,n,,L,isolated,X,NA,female,,
143,1,12:31:18 PM,12:32:42 PM,insemination,",1","0,",y,n,,,C,social,M,NA,female,,
7,1,2:53:11 PM,,mount,",3",4:00,n,NA,y,,G,isolated,W,NA,female,,
8,1,8:19:44 AM,,mount,",5",4:00,n,NA,y,,E,social,W,NA,female,,
9,1,9:12:37 AM,9:13:11 AM,insemination,",8",4:00,n,NA,n,,J,isolated,W,NA,female,,
10,1,12:37:52 PM,,mount,",8",4:00,,,,,J,isolated,W,NA,female,,
11,1,8:07:40 AM,,insemination,:7,4:00,n,NA,n,,B,social,W,NA,female,,
12,1,8:50:15 AM,8:51:09 AM,insemination,:7,4:00,n,NA,n,,B,social,W,NA,female,,
162,1,8:09:13 AM,,mount,",1","3,",y,y,NA,,C,social,P,NA,female,,
14,1,8:35:16 AM,,mount,",3",7:00,n,NA,y,,G,isolated,N,NA,female,,
15,1,8:36:41 AM,8:37:41 AM,insemination,",3",7:00,n,NA,n,,G,isolated,N,NA,female,,
16,1,11:25:40 AM,,mount,",3",7:00,n,NA,y,,G,isolated,N,NA,female,,
207,1,1:39:48 PM,1:41:23 PM,insemination,",6","7,",y,n,n,,H,isolated,T,NA,female,,
218,1,11:40:30 AM,11:42:40 AM,insemination,",6","8,",y,n,n,,H,isolated,U,NA,female,,
219,1,11:46:31 AM,11:47:01 AM,insemination,",6","8,",y,n,n,,H,isolated,U,NA,female,,
220,1,1:54:30 PM,,mount,",6","8,",y,n,y,,H,isolated,U,NA,female,,
17,1,2:50:00 PM,,mount,",6",7:00,n,NA,y,,H,isolated,N,NA,female,,
26,1,2:34:25 PM,,mount,",6","6,",n,NA,y,,H,isolated,S,NA,female,,
42,1,8:51:39 AM,,mount,",8",",0",,,,,J,isolated,A,NA,male,,
62,1,11:36:49 AM,,mount,",8",",5",,,,,J,isolated,E,NA,male,,
27,1,2:31:50 PM,,mount,:1,"6,",n,NA,y,,K,isolated,S,NA,female,,
208,1,1:44:48 PM,,mount,",6","7,",n,NA,y,,H,isolated,T,NA,female,,
49,1,8:05:51 AM,,mount,:1,",0",,,,,K,isolated,A,NA,male,,
28,1,10:12:46 AM,,mount,",4",",0",,,,,D,social,A,NA,male,,
29,1,10:34:00 AM,,mount,",4",",0",,,,,D,social,A,NA,male,,
30,1,11:38:05 AM,,mount,",4",",0",,,,,D,social,A,NA,male,,
