group,replicate,day,time,location,members,notes
1,1,1,900,2,C R,male soc. Exp. 2022
2,1,1,900,3,D P A,
3,1,1,900,4,X S,
4,1,1,900,5,O I B,
5,1,1,900,6,U E N L,
6,1,1,900,3,P D A,
7,1,1,1000,4,S X T R,
8,1,1,1000,5,O I S,
9,1,1,1000,6,N U E L,
10,1,1,1100,3,D P A,
11,1,1,1100,4,X S H R,
12,1,1,1100,5,B O N,
13,1,1,1100,6,V Q,
14,1,1,1200,2,G C,
15,1,1,1200,3,W D L A P,
16,1,1,1200,4,H S T,
17,1,1,1200,5,O J B N,
18,1,1,1200,6,R V,
19,1,1,1300,2,C G,
20,1,1,1300,3,V A F I W P L,
21,1,1,1300,4,S H K T,
22,1,1,1300,5,B O J D N,
23,1,1,1300,6,R V,
24,1,1,1400,3,W Q I L F D A P,
25,1,1,1400,4,H G K,
26,1,1,1400,5,O B J N,
27,1,1,1500,3,I F D L Q,
28,1,1,1500,4,G H K,
29,1,1,1500,5,N O W B R,
30,1,1,1600,3,I W D F L Q,
31,1,1,1600,4,H G K,
32,1,1,1600,5,P M B,
33,1,2,800,1,N V J,
34,1,2,800,2,E Q X C,
35,1,2,800,3,O U D F I W L M S G,
36,1,2,800,4,T H A K,
37,1,2,800,5,B P R,
38,1,2,900,1,N V J,
39,1,2,900,2,Q E X C,
40,1,2,900,3,U F O W D I S M L G,
41,1,2,900,4,A T H K,
42,1,2,900,5,R B P,
43,1,2,1000,1,N V J,
44,1,2,1000,2,Q E X C,
45,1,2,1000,3,U F W D M O S L I G,
46,1,2,1000,4,T A H K,
47,1,2,1000,5,R P B,
48,1,2,1100,1,J N V,
49,1,2,1100,2,Q E X C,
50,1,2,1100,3,S I W F D G M O U L,
51,1,2,1100,4,T A H K,
52,1,2,1100,5,B P R,
53,1,2,1200,1,J V N,
54,1,2,1200,2,X E Q C,
55,1,2,1200,3,W O L F I D S M,
56,1,2,1200,4,T A G H K,
57,1,2,1200,5,R P B,
58,1,2,1300,2,E Q C X,
59,1,2,1300,3,O D W M L F I S,
60,1,2,1300,4,A K T G H,
61,1,2,1300,5,R B,
62,1,2,1400,1,J L,
63,1,2,1400,2,E Q,
64,1,2,1400,3,O M I F,
65,1,2,1400,4,T A K G H,
66,1,2,1400,5,N R D B,
67,1,2,1500,1,C J,
68,1,2,1500,2,E Q,
69,1,2,1500,3,I M L F O,
70,1,2,1500,4,A H G K,
71,1,2,1500,5,R W B N,
72,1,2,1600,1,C J,
73,1,2,1600,2,E Q S,
74,1,2,1600,3,I F M L O,
75,1,2,1600,4,G K T H D A,
76,1,2,1600,5,R W B N,
77,2,1,900,3,A W N F,
78,2,1,900,4,U P R E D H S I,
79,2,1,900,5,K L V C G,
80,2,1,900,6,O M,
81,2,1,1000,1,T Q,
82,2,1,1000,3,D N W A F,
83,2,1,1000,4,S U P H I,
84,2,1,1000,5,M E K C V L G,
85,2,1,1000,6,O R,
86,2,1,1100,1,B T,
87,2,1,1100,3,Q W N A D,
88,2,1,1100,4,P U S I H,
89,2,1,1100,5,M E L G K C V,
90,2,1,1100,6,O R,
91,2,1,1200,1,B T,
92,2,1,1200,3,W Q A D N X,
93,2,1,1200,4,F S P U I H,
94,2,1,1200,5,M K E C L V G,
95,2,1,1200,6,R O,
96,2,1,1300,1,B T,
97,2,1,1300,3,A S N X Q,
98,2,1,1300,4,H U F P I,
99,2,1,1300,5,M E W K L C G,
100,2,1,1300,6,R O,
101,2,1,1400,1,W B T,
102,2,1,1400,3,X S N A C,
103,2,1,1400,4,U V P H F I,
104,2,1,1400,5,M D K Q E G L,
105,2,1,1400,6,R O,
106,2,1,1500,1,T W B,
107,2,1,1500,3,X R A N,
108,2,1,1500,4,U F P H I V,
109,2,1,1500,5,E K M Q D,
110,2,1,1600,1,W B T,
111,2,1,1600,3,X C A P S N R,
112,2,1,1600,4,F I U H V,
113,2,1,1600,5,M E Q K D L G,
114,2,2,800,1,B W,
115,2,2,800,3,X A S N R T P,
116,2,2,800,4,H U F V,
117,2,2,800,5,E M L D Q O I G C K,
118,2,2,900,1,B W,
119,2,2,900,3,X A S N R P T,
120,2,2,900,4,H U F V,
121,2,2,900,5,M Q L D E O I K G C,
122,2,2,1000,1,B W,
123,2,2,1000,3,X A S N R P T,
124,2,2,1000,4,F H U V,
125,2,2,1000,5,M E L Q I D O K C G,
126,2,2,1100,1,B W,
127,2,2,1100,3,X A S N P T R,
128,2,2,1100,4,F U V H,
129,2,2,1100,5,Q L D I E O K G C,
130,2,2,1200,1,J B W,
131,2,2,1200,3,X A S R T P N,
132,2,2,1200,4,U F H,
133,2,2,1200,5,Q D L I E O K C G,
134,2,2,1300,1,B J,
135,2,2,1300,3,R P T N S A,
136,2,2,1300,4,H W F,
137,2,2,1300,5,O Q E C I V D L K G,
138,2,2,1400,1,B J,
139,2,2,1400,3,R P U N,
140,2,2,1400,5,K C E D I L G Q,
141,2,2,1500,1,H B J,
142,2,2,1500,3,U P R N A,
143,2,2,1500,4,F M,
144,2,2,1500,5,C D W L K V E I G Q,
145,2,2,1600,1,H W J,
146,2,2,1600,3,P U Q G N A R,
147,2,2,1600,4,E F L,
148,2,2,1600,5,K D,
149,2,2,1600,6,O I V,
150,3,1,900,,,this scan was empty
151,3,1,1000,1,N M V C K E,
152,3,1,1000,2,S R J H P T,
153,3,1,1000,4,X Q A U W,
154,3,1,1000,6,F O,
155,3,1,1100,1,V B N J K M C E,
156,3,1,1100,2,J R P T H,
157,3,1,1100,4,Q W U A X G,
158,3,1,1100,5,L I,
159,3,1,1100,6,F O,
160,3,1,1200,1,K V E B N M S C,
161,3,1,1200,2,J R H T P,
162,3,1,1200,4,U W Q X A G,
163,3,1,1200,5,I L,
164,3,1,1200,6,F O,
165,3,1,1300,1,B N K V C E,
166,3,1,1300,2,H J R P T,
167,3,1,1300,4,U G X Q W A,
168,3,1,1300,5,I L,
169,3,1,1300,6,D F O,
170,3,1,1400,1,Q B K W N V E C,
171,3,1,1400,2,J R H P T,
172,3,1,1400,4,A U X G,
173,3,1,1400,5,M I L,
174,3,1,1400,6,D F O,
175,3,1,1500,1,K B E V W Q N T C,
176,3,1,1500,2,R H J P,
177,3,1,1500,4,U A G X,
178,3,1,1500,5,I L M O,
179,3,1,1500,6,D Q S,
180,3,1,1600,1,N V T C S K B U W Q E,
181,3,1,1600,2,J R H P,
182,3,1,1600,4,X A G,
183,3,1,1600,5,I L M O,
184,3,1,1600,6,D F,
185,3,2,800,1,K S V U X T C W E O N,
186,3,2,800,2,J R H P,
187,3,2,800,5,L A M I,
188,3,2,800,6,Q D F,
189,3,2,900,1,K B V S U X T N C O W E,
190,3,2,900,2,R J H P,
191,3,2,900,5,I M L A,
192,3,2,900,6,D Q F,
193,3,2,1000,1,C B T S K U N V O W E X,
194,3,2,1000,2,J R H P,
195,3,2,1000,5,A L M I,
196,3,2,1000,6,D Q F,
197,3,2,1100,1,C K S U X N B T O W E V,
198,3,2,1100,2,H P J R,
199,3,2,1100,5,L I A M,
200,3,2,1100,6,Q D J,
201,3,2,1200,1,C K T U N X B S E O W V,
202,3,2,1200,2,J R H P,
203,3,2,1200,5,L M I A,
204,3,2,1200,6,F Q D,
205,3,2,1300,1,U C B K V X T N S W O E,
206,3,2,1300,2,P R J H,
207,3,2,1300,5,L A I,
208,3,2,1300,6,D F,
209,3,2,1400,1,X K B C U N T V S W O E,
210,3,2,1400,2,P R H J,
211,3,2,1400,4,M Q G,
212,3,2,1400,5,I A L,
213,3,2,1400,6,D F,
214,3,2,1500,1,X K C B U N T V S E W O,
215,3,2,1500,2,P R H J,
216,3,2,1500,4,M Q T,
217,3,2,1500,5,A L I,
218,3,2,1500,6,D F,
219,3,2,1600,1,K U N X T B E W V S O C,
220,3,2,1600,2,P R H J,
221,3,2,1600,4,Q M G,
222,3,2,1600,5,A L I,
223,3,2,1600,6,D F,
224,4,1,900,2,P H Q,
225,4,1,900,3,V W G,
226,4,1,900,5,S C J,
227,4,1,900,6,D R M F L B,
228,4,1,1000,1,D E,
229,4,1,1000,2,P H Q,
230,4,1,1000,3,G X,
231,4,1,1000,4,I N,
232,4,1,1000,5,J S C O,
233,4,1,1000,6,U A V M R F L B,
234,4,1,1100,1,D E,
235,4,1,1100,2,P H Q,
236,4,1,1100,3,K G,
237,4,1,1100,4,I N W,
238,4,1,1100,5,J S C O,
239,4,1,1100,6,F V U A M R B L,
240,4,1,1200,1,E D,
241,4,1,1200,2,H P,
242,4,1,1200,3,K G,
243,4,1,1200,4,W I N,
244,4,1,1200,5,C S J X O,
245,4,1,1200,6,V M R A B L F U,
246,4,1,1300,1,E D Q,
247,4,1,1300,3,K G,
248,4,1,1300,4,I N,
249,4,1,1300,5,C O X T J,
250,4,1,1300,6,L A R F M S B V,
251,4,1,1400,3,K G,
252,4,1,1400,5,W J O X U C,
253,4,1,1400,6,S L P A B R M F V,
254,4,1,1500,3,K Q G T,
255,4,1,1500,4,E I,
256,4,1,1500,5,W X C O U J,
257,4,1,1500,6,B S R A L P V F,
258,4,1,1600,3,Q M K G,
259,4,1,1600,4,V E I,
260,4,1,1600,5,X U C O W J,
261,4,1,1600,6,B R S P A L F,
262,4,2,800,2,D H Q M,
263,4,2,800,3,T K,
264,4,2,800,4,I E S,
265,4,2,800,5,J U C O X,
266,4,2,800,6,B W P F L N A V R G,
267,4,2,900,2,D H M Q,
268,4,2,900,3,T K,
269,4,2,900,4,I E S,
270,4,2,900,5,J C U X O,
271,4,2,900,6,W P B L F V N A R G,
272,4,2,1000,2,H D M Q,
273,4,2,1000,3,K T,
274,4,2,1000,4,I E S,
275,4,2,1000,5,X C O J U,
276,4,2,1000,6,W P B F N R G A L V,
277,4,2,1100,2,Q M D H,
278,4,2,1100,3,K T,
279,4,2,1100,4,I E S,
280,4,2,1100,5,J C U O X,
281,4,2,1100,6,W F P V N R A B G L,
282,4,2,1200,2,M Q H D,
283,4,2,1200,3,K T,
284,4,2,1200,4,I E S,
285,4,2,1200,5,O X J C U,
286,4,2,1200,6,W B P F L A N V R G,
287,4,2,1300,2,M Q D H,
288,4,2,1300,4,S E I V,
289,4,2,1300,5,J C X O,
290,4,2,1300,6,W B G L P N R A F,
291,4,2,1400,2,M Q V D H,
292,4,2,1400,4,E I S,
293,4,2,1400,5,J O X C,
