,A,B,C,E,F,G,H,I,J,K,L,O,P,Q,R,S,T,U,V,X
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0.45,0.095238095,0.153846154,0,0.115384615,0.45,0,0,0.115384615,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0.055555556,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0.058823529,0,0.388888889,0,0,0.6,0.285714286,0,0.043478261,0,0,0,0,0,0,0,0,0
R,0,0,0.166666667,0.25,0.4,0.259259259,0,0.368421053,0.117647059,0.259259259,0.096774194,0,0,0,0,0,0,0,0,0
S,0,0,0.473684211,0,0.944444444,0,0,0.444444444,0.117647059,0,0.36,0,0,0,0,0,0,0,0,0
T,0.333333333,0.941176471,0,0,0,0,0.941176471,0,0,0,0,0,0,0,0,0,0,0,0,0
U,0,0,0.473684211,0,0.346153846,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V,0,0,0.454545455,0,0.277777778,0,0,0,0,0,0.294117647,0,0,0,0,0,0,0,0,0
X,0,0,0.066666667,0.045454545,0.15,0.047619048,0,0.272727273,0.166666667,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0
