group,replicate,day,time,location,members,notes
1,2,1,900,3,W N,
2,2,1,900,4,U P R,
3,2,1,900,4,E D,
4,2,1,900,4,S I,
5,2,1,900,5,L V,
6,2,1,900,5,C G,
7,2,1,1000,1,T Q,
8,2,1,1000,3,N A W D,
9,2,1,1000,4,S U P,
10,2,1,1000,4,H I,
11,2,1,1000,5,K C V,
12,2,1,1000,5,L G,
13,2,1,1100,1,B T,
14,2,1,1100,3,Q W,
15,2,1,1100,3,N A,
16,2,1,1100,4,P U,
17,2,1,1100,4,I H,
18,2,1,1100,5,K C V,
19,2,1,1100,5,L G,
20,2,1,1200,3,A D N,
21,2,1,1200,4,F P U S,
22,2,1,1200,5,M E K,
23,2,1,1200,5,L C V,
24,2,1,1300,1,B T,
25,2,1,1300,3,A S,
26,2,1,1300,4,H U,
27,2,1,1300,4,P I,
28,2,1,1300,5,M E,
29,2,1,1300,5,W K,
30,2,1,1300,5,L C G,
31,2,1,1400,1,W B T,
32,2,1,1400,3,X S N A,
33,2,1,1400,4,U P V H,
34,2,1,1400,5,M D K Q E,
35,2,1,1400,5,G L,
36,2,1,1400,6,R O,
37,2,1,1500,1,T W B,
38,2,1,1500,3,X R A,
39,2,1,1500,4,U F P H,
40,2,1,1500,5,M E K Q D,
41,2,1,1600,1,W B T,
42,2,1,1600,3,X C A,
43,2,1,1600,3,P S N R,
44,2,1,1600,4,F I U H,
45,2,1,1600,5,M E Q K D,
46,2,2,800,3,X A,
47,2,2,800,3,S R N T P,
48,2,2,800,4,U F,
49,2,2,800,5,E M L D Q,
50,2,2,800,5,G C K,
51,2,2,800,5,O D,
52,2,2,900,1,B W,
53,2,2,900,3,X A,
54,2,2,900,3,S N R P T,
55,2,2,900,4,U F,
56,2,2,900,5,M Q L D E,
57,2,2,900,5,O I,
58,2,2,900,5,K G C,
59,2,2,1000,1,W B,
60,2,2,1000,3,X A,
61,2,2,1000,3,S N R P T,
62,2,2,1000,4,H F U,
63,2,2,1000,5,M E L Q I D,
64,2,2,1100,3,X A,
65,2,2,1100,3,S N P T R,
66,2,2,1100,5,L D I E O,
67,2,2,1100,5,K G C,
68,2,2,1200,1,J B,
69,2,2,1200,3,X A,
70,2,2,1200,3,S T P R N,
71,2,2,1200,4,F H,
72,2,2,1200,5,Q D,
73,2,2,1200,5,K C G,
74,2,2,1300,3,R T P N,
75,2,2,1300,5,O Q E C I V,
76,2,2,1300,5,K G,
77,2,2,1400,3,P U N,
78,2,2,1400,4,K C E D I L,
79,2,2,1500,3,U P,
80,2,2,1500,3,R N A,
81,2,2,1500,4,D W L K V E I,
82,2,2,1600,1,H W,
83,2,2,1600,3,P U,
84,2,2,1600,3,N A R,
85,2,2,1600,4,F L,
86,2,2,1600,6,I V,
87,3,1,1000,1,N M V C,
88,3,1,1000,2,S R J,
89,3,1,1000,4,X Q A U,
90,3,1,1100,1,V B N S,
91,3,1,1100,2,J R,
92,3,1,1100,2,P T,
93,3,1,1100,4,Q W,
94,3,1,1100,5,L I,
95,3,1,1200,1,K V E B N M,
96,3,1,1200,2,J R H,
97,3,1,1200,2,T P,
98,3,1,1200,4,U W Q X A,
99,3,1,1200,5,I L,
100,3,1,1300,1,B N K V,
101,3,1,1300,2,H J R,
102,3,1,1300,2,P T,
103,3,1,1300,4,U G X Q W A,
104,3,1,1300,6,D F,
105,3,1,1400,1,Q B K W N V E,
106,3,1,1400,2,J R H,
107,3,1,1400,2,P T,
108,3,1,1400,4,A U X G,
109,3,1,1400,5,M I,
110,3,1,1400,6,D F,
111,3,1,1500,1,K B,
112,3,1,1500,1,E V W,
113,3,1,1500,1,Q N T,
114,3,1,1500,2,R H J,
115,3,1,1500,4,U A G X,
116,3,1,1500,6,D Q,
117,3,1,1600,1,N V T C S K B,
118,3,1,1600,1,U W Q E,
119,3,1,1600,2,J R H,
120,3,1,1600,4,X A G,
121,3,1,1600,5,I L M,
122,3,1,1600,6,D F,
123,3,2,800,1,K S V U X T C,
124,3,2,800,1,W E O,
125,3,2,800,2,J R,
126,3,2,800,5,L A M I,
127,3,2,800,6,Q D F,
128,3,2,900,1,K B V S U X T N C,
129,3,2,900,1,O W E,
