group,replicate,day,time,location,members,notes
1,1,1,900,1,P F G,
2,1,1,900,2,D H A,
3,1,1,900,4,J K C N O M L,
4,1,1,1000,1,P F G,
5,1,1,1000,2,D A H,
6,1,1,1000,4,M C O K J N L,
7,1,1,1100,1,B G F,
8,1,1,1100,2,D H,
9,1,1,1100,4,O K L M J C,
10,1,1,1200,1,G P B F,
11,1,1,1200,2,D H,
12,1,1,1200,4,M O K C J,
13,1,1,1300,1,F G B O A,
14,1,1,1300,2,D H,
15,1,1,1300,4,K M C,
16,1,1,1400,1,F A G B,
17,1,1,1400,4,C P K M,
18,1,1,1500,1,A F G,
19,1,1,1500,2,H I D,
20,1,1,1500,4,C K,
21,1,1,1600,1,G A F B,
22,1,1,1600,2,C D K,
23,1,2,800,1,N I F M E G,
24,1,2,800,4,O B P J C A K D,
25,1,2,900,1,F E G M N I,
26,1,2,900,4,P O J B C A K D,
27,1,2,1000,1,M N E F G I,
28,1,2,1000,4,P K O J B D K J A,
29,1,2,1100,1,M N E F G I,
30,1,2,1100,4,P K O J B D K J A,
31,1,2,1200,1,M F I E G N,
32,1,2,1200,4,B C K P J A D O,
33,1,2,1300,1,E G F M I,
34,1,2,1300,4,C D A J K D B,
35,1,2,1400,1,F I E G M N,
36,1,2,1400,2,O H,
37,1,2,1400,4,D K C A B J,
38,1,2,1500,1,F G M E,
39,1,2,1500,2,O H,
40,1,2,1500,4,B A D J C P K,
41,1,2,1600,1,E M F G,
42,1,2,1600,2,I H,
43,1,2,1600,4,A B D K C J P,
44,2,1,900,1,F K O H N,
45,2,1,900,2,B J G C I,
46,2,1,900,4,P A M,
47,2,1,1000,1,N K F H O,
48,2,1,1000,2,J C B G I,
49,2,1,1000,4,P A M,
50,2,1,1100,1,F K N O,
51,2,1,1100,2,J B G I C,
52,2,1,1100,4,P A M,
53,2,1,1200,1,N O F K H,
54,2,1,1200,2,J D G I B C,
55,2,1,1200,4,P A M,
56,2,1,1300,1,H F K O,
57,2,1,1300,2,J D C I G B,
58,2,1,1300,4,P A M,
59,2,1,1400,1,J H F O,
60,2,1,1400,2,E C F N B,
61,2,1,1400,4,P K A M,
62,2,1,1500,1,J N F H O,
63,2,1,1500,2,E D B G C,
64,2,1,1500,4,K P M A,
65,2,1,1600,1,J N H F,
66,2,1,1600,2,I B E G N C,
67,2,1,1600,4,P K M A,
68,2,2,800,1,O M H F,
69,2,2,800,2,I C G E B N,
70,2,2,800,4,K A D P J,
71,2,2,900,1,O M F H,
72,2,2,900,2,I C G E B N,
73,2,2,900,4,P D A K J,
74,2,2,1000,1,F O M H,
75,2,2,1000,2,B G N C E,
76,2,2,1000,4,J P D A K,
77,2,2,1100,1,H F M O,
78,2,2,1100,2,G C B I N E,
79,2,2,1100,4,P K A D J,
80,2,2,1200,1,H F O M,
81,2,2,1200,2,G B N E C,
82,2,2,1200,4,P K A J,
83,2,2,1300,1,H N F M O,
84,2,2,1300,2,G C E B,
85,2,2,1300,4,A P K J,
