replicate,day,start_time,end_time,focal,partner,partner_avoid,avoid_success,male_abort,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,8:01:35 AM,8:03:00 AM,",2","5,",n,NA,n,insemination,,C,social,M,female
1,1,8:01:44 AM,8:02:31 AM,",8","0,",n,NA,n,insemination,,F,isolated,I,female
1,1,8:02:50 AM,,",9",",1",,,,mount,,B,social,D,male
1,1,8:04:31 AM,,",0",",4",,,,mount,,E,isolated,A,male
1,1,8:04:40 AM,,",4",",3",,,,mount,,A,social,H,male
1,1,8:04:53 AM,,",3",",0",,,,mount,,H,isolated,E,male
1,1,8:05:23 AM,,",1",",7",,,,mount,,D,social,G,male
1,1,8:06:04 AM,,",2","5,",n,NA,y,mount,,C,social,M,female
1,1,8:06:51 AM,,",0",",3",,,,mount,,E,isolated,H,male
1,1,8:06:52 AM,,",7",",1",,,,mount,,G,isolated,D,male
1,1,8:07:09 AM,,",1",",9",,,,mount,,D,social,B,male
1,1,8:07:30 AM,,",9",",1",,,,mount,,B,social,D,male
1,1,8:08:27 AM,,",0",",1",,,,mount,,E,isolated,D,male
1,1,8:08:34 AM,,",0",",3",,,,mount,,E,isolated,H,male
1,1,8:08:40 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:08:56 AM,,",0",",3",,,,mount,,E,isolated,H,male
1,1,8:09:26 AM,8:11:29 AM,",0","2,",n,NA,n,insemination,,E,isolated,K,female
1,1,8:12:09 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:12:19 AM,,",1",",0",,,,mount,,D,social,E,male
1,1,8:16:26 AM,,",2","9,",n,NA,y,mount,,C,social,P,female
1,1,8:16:42 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:21:41 AM,,",2","4,",y,y,NA,mount,,C,social,L,female
1,1,8:21:54 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:22:16 AM,8:23:33 AM,",2","1,",n,NA,n,insemination,,C,social,J,female
1,1,8:23:00 AM,,",1",",3",,,,mount,,D,social,H,male
1,1,8:24:06 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:24:48 AM,,",0","2,",n,NA,y,mount,,E,isolated,K,female
1,1,8:25:23 AM,,",0","2,",y,y,NA,mount,,E,isolated,K,female
1,1,8:28:44 AM,,",3",",1",,,,mount,,H,isolated,D,male
1,1,8:30:08 AM,,",4",",3",,,,mount,,A,social,H,male
1,1,8:30:18 AM,,",4",",1",,,,mount,,A,social,D,male
1,1,8:30:40 AM,,",4",",1",,,,mount,,A,social,D,male
1,1,8:31:26 AM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,8:34:08 AM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,8:34:26 AM,,",2","9,",n,NA,y,mount,,C,social,P,female
1,1,8:34:41 AM,,",4",",1",,,,mount,,A,social,D,male
1,1,8:34:59 AM,,",2","2,",n,NA,y,mount,,C,social,K,female
1,1,8:36:13 AM,,",2","5,",n,NA,y,mount,,C,social,M,female
1,1,8:37:37 AM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,8:39:10 AM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,8:40:03 AM,,",2","9,",n,NA,y,mount,,C,social,P,female
1,1,8:40:56 AM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,8:44:20 AM,,",3",",4",,,,mount,,H,isolated,A,male
1,1,8:47:58 AM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,8:49:41 AM,,",8",",7",,,,mount,,F,isolated,G,male
