day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:02:54 AM,8:03:26 AM,",4","2,",n,NA,n,insemination,"26.9 deg C, 52% RH"
1,8:02:57 AM,,",2",",8",,,,mount,
1,8:02:57 AM,,",7",",2",,,,mount,
1,8:02:57 AM,,",9",",7",,,,mount,
1,8:02:58 AM,8:03:06 AM,",1","7,",n,NA,n,insemination,
1,8:02:58 AM,,",0",",7",,,,mount,
1,8:02:59 AM,,",9",",7",,,,mount,
1,8:02:59 AM,8:03:20 AM,",5","6,",n,NA,n,insemination,
1,8:03:21 AM,,",8",",4",,,,mount,
1,8:03:28 AM,,",4","2,",n,NA,y,mount,
1,8:04:08 AM,,",9",",2",,,,mount,
1,8:04:31 AM,,",4","2,",n,NA,y,mount,
1,8:05:13 AM,,",7",",2",,,,mount,
1,8:05:22 AM,,",0",",2",,,,mount,
1,8:05:57 AM,,",4","2,",n,NA,y,mount,
1,8:06:27 AM,,",9",",2",,,,mount,
1,8:06:40 AM,,",8",",4",,,,mount,
1,8:09:16 AM,,",5","5,",n,NA,y,mount,
1,8:10:46 AM,,",4","2,",y,n,y,mount,
1,8:10:46 AM,,",8",",4",,,,mount,
1,8:13:24 AM,,",8",",4",,,,mount,
1,8:13:35 AM,,",4","2,",y,y,NA,mount,
1,8:15:18 AM,8:16:04 AM,",7","0,",n,NA,n,insemination,
1,8:15:33 AM,8:16:12 AM,",5","3,",n,NA,n,insemination,
1,8:16:32 AM,,",5","9,",n,NA,y,mount,
1,8:17:18 AM,,",9",",7",,,,mount,
1,8:17:38 AM,8:20:43 AM,",1","5,",y,n,n,insemination,
1,8:18:43 AM,,",7","6,",n,NA,y,mount,
1,8:19:38 AM,,",2",",9",,,,mount,
1,8:19:54 AM,,",0","7,",y,y,NA,mount,
1,8:20:12 AM,8:21:28 AM,",7","8,",n,NA,n,insemination,
1,8:20:38 AM,,",2",",9",,,,mount,
1,8:21:50 AM,,",8","2,",y,y,NA,mount,
1,8:22:07 AM,,",8",",4",,,,mount,
1,8:22:23 AM,,",2","7,",y,y,NA,mount,
1,8:22:45 AM,,",0","7,",y,y,NA,mount,
1,8:22:45 AM,,",2","7,",n,NA,y,mount,
1,8:22:46 AM,,",4",",8",,,,mount,
1,8:24:55 AM,,",9","7,",y,y,NA,mount,
1,8:25:31 AM,,",7",",5",,,,mount,
1,8:26:00 AM,,",5",",7",,,,mount,
1,8:26:00 AM,8:27:12 AM,",0","7,",y,n,n,insemination,
1,8:26:35 AM,,",0",",9",,,,mount,
1,8:27:14 AM,8:27:34 AM,",9","6,",n,NA,n,insemination,
1,8:27:42 AM,,",2","0,",n,NA,y,mount,
1,8:28:50 AM,,",8",",4",,,,mount,
1,8:31:07 AM,,",7","3,",n,NA,y,mount,
1,8:31:39 AM,,",4",",8",,,,mount,
1,8:32:02 AM,,",7","9,",n,NA,y,mount,
1,8:32:53 AM,,",0",",7",,,,mount,
1,8:33:18 AM,,",2","0,",n,NA,y,mount,
1,8:34:22 AM,,",1","7,",y,y,NA,mount,
1,8:35:47 AM,,",0","3,",n,NA,y,mount,
1,8:36:38 AM,,",9",",2",,,,mount,
1,8:37:09 AM,,",0",",7",,,,mount,
1,8:37:46 AM,,",9",",2",,,,mount,
1,8:39:32 AM,,",2",",9",,,,mount,
1,8:39:57 AM,,",9","0,",y,y,NA,mount,
1,8:40:30 AM,,",8",",4",,,,mount,
1,8:42:19 AM,,",9","0,",y,y,NA,mount,
1,8:43:50 AM,,",7","3,",n,NA,y,mount,
1,8:44:38 AM,,",9",",2",,,,mount,
1,8:45:44 AM,,",4","0,",n,NA,y,mount,
1,8:46:17 AM,,",8",",4",,,,mount,
1,8:47:20 AM,,",8","0,",n,NA,y,mount,
1,8:49:45 AM,,",4",",8",,,,mount,
1,8:50:08 AM,,",8","0,",n,NA,y,mount,
1,8:52:16 AM,,",4",",8",,,,mount,
1,8:52:28 AM,,",0","9,",n,NA,y,mount,
1,9:00:02 AM,,",0","8,",n,NA,y,mount,
1,9:02:49 AM,,",9","0,",n,NA,y,mount,
1,9:03:03 AM,,",9","0,",y,y,NA,mount,
1,9:03:19 AM,,",5","2,",n,NA,y,mount,
1,9:04:03 AM,,",9","0,",n,NA,y,mount,
1,9:04:53 AM,,",4","2,",y,y,NA,mount,
1,9:05:54 AM,,",7","9,",n,NA,y,mount,
1,9:06:12 AM,,",9","0,",y,y,NA,mount,
1,9:06:16 AM,,",9",",2",,,,mount,
1,9:07:04 AM,,",0","8,",n,NA,y,mount,
1,9:07:27 AM,,",0",",7",,,,mount,
1,9:08:13 AM,,",9","0,",n,NA,y,mount,
1,9:08:29 AM,,",2","0,",n,NA,y,mount,
1,9:10:39 AM,,",4","2,",n,NA,y,mount,
1,9:13:11 AM,,",2","0,",n,NA,y,mount,
1,9:14:41 AM,,",4",",5",,,,mount,
1,9:14:53 AM,,",8",",5",,,,mount,
1,9:16:53 AM,,",9","0,",y,y,NA,mount,
