day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,
1,8:01:30 AM,,,,,,,trial start,
1,8:01:52 AM,,",6",",4",,,,mount,
1,8:02:08 AM,,",5",",6",,,,mount,
1,8:02:16 AM,,",5",",0",,,,mount,
1,8:02:26 AM,8:03:23 AM,",5","8,",n,NA,n,insemination,
1,8:02:48 AM,8:03:23 AM,",7","2,",n,NA,n,insemination,
1,8:03:03 AM,,",1",",6",,,,mount,
1,8:03:03 AM,,",6",",1",,,,mount,
1,8:03:07 AM,,",8",",3",,,,mount,
1,8:03:28 AM,,",0",",6",,,,mount,
1,8:03:29 AM,,",4","9,",n,NA,n,insemination,
1,8:04:31 AM,8:06:36 AM,",7","4,",n,NA,n,insemination,
1,8:04:36 AM,8:06:16 AM,",8","2,",n,NA,n,insemination,
1,8:05:17 AM,,",5",",0",,,,mount,
1,8:05:57 AM,,",1",",0",,,,mount,
1,8:06:06 AM,,",6",",5",,,,mount,
1,8:06:07 AM,8:07:29 AM,",5","8,",n,NA,n,insemination,
1,8:06:50 AM,8:08:14 AM,",8","1,",n,NA,n,insemination,
1,8:07:34 AM,,",5",",1",,,,mount,
1,8:07:49 AM,8:10:01 AM,",3","6,",y,n,n,insemination,
1,8:08:43 AM,,",5","8,",n,NA,y,mount,
1,8:08:56 AM,,",8","4,",n,NA,y,mount,
1,8:09:20 AM,,",7",",8",,,,mount,
1,8:09:20 AM,,",5",",6",,,,mount,
1,8:09:22 AM,,",1",",5",,,,mount,
1,8:09:31 AM,8:11:24 AM,",7","4,",n,NA,n,insemination,
1,8:11:09 AM,,",8",",7",,,,mount,
1,8:11:09 AM,,",6","8,",y,y,NA,mount,
1,8:11:10 AM,,",8",",7",,,,mount,
1,8:11:39 AM,8:12:50 AM,",8","1,",n,NA,n,insemination,
1,8:14:54 AM,,",8",",7",,,,mount,
1,8:15:39 AM,,",1",",5",,,,mount,
1,8:16:58 AM,,",8",",7",,,,mount,
1,8:17:51 AM,,",5",",0",,,,mount,
1,8:18:24 AM,,",8","2,",y,y,NA,mount,
1,8:18:41 AM,,",7",",8",,,,mount,
1,8:18:55 AM,,",8",",7",,,,mount,
1,8:20:40 AM,,",7","4,",y,y,NA,mount,
1,8:20:41 AM,,",8","4,",n,NA,y,mount,
1,8:21:23 AM,,",7",",4",,,,mount,
1,8:22:01 AM,,",3","6,",n,NA,y,mount,
1,8:23:01 AM,,",5","8,",y,n,y,mount,double check footage for female ID
1,8:23:20 AM,,",0",",5",,,,mount,
1,8:23:48 AM,,",1",",5",,,,mount,
1,8:23:48 AM,,",3","2,",y,y,NA,mount,
1,8:23:48 AM,,",7",",8",,,,mount,
1,8:23:49 AM,,",4",",7",,,,mount,
1,8:25:32 AM,,",7","4,",n,NA,y,mount,
1,8:29:42 AM,,",7",",8",,,,mount,
1,8:29:55 AM,,",8","4,",n,NA,y,mount,
1,8:34:52 AM,,",1",",0",,,,mount,
1,8:38:06 AM,8:40:26 AM,",0","8,",n,NA,n,insemination,
1,8:41:10 AM,,",8","4,",n,NA,y,mount,
1,8:41:59 AM,,",7",",8",,,,mount,
1,8:45:46 AM,,",1",",6",,,,mount,
1,8:47:21 AM,,",1",",6",,,,mount,
1,8:47:51 AM,,",6",",1",,,,mount,
1,8:48:05 AM,,",6","8,",n,NA,y,mount,
1,8:50:18 AM,,",7",",8",,,,mount,
1,8:50:46 AM,8:53:54 AM,",7","7,",n,NA,n,insemination,
1,8:53:27 AM,,",6",",1",,,,mount,
1,8:54:26 AM,,",0",",6",,,,mount,
1,9:01:23 AM,,",6","9,",n,NA,y,mount,
1,9:05:22 AM,,",6","9,",n,NA,y,mount,
1,9:07:16 AM,,",3","1,",y,n,y,mount,
1,9:12:14 AM,,",3","6,",n,NA,y,mount,
1,9:12:44 AM,,",7",",8",,,,mount,
1,9:14:35 AM,,",0",",5",,,,mount,
