,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex,
1,1,8:02:54 AM,8:03:26 AM,",4","2,",n,NA,n,insemination,"26.9 deg C, 52% RH",G,isolated,J,female,
134,1,11:49:37 AM,11:50:10 AM,",2","2,",n,NA,n,insemination,,D,social,J,female,
23,1,8:15:18 AM,8:16:04 AM,",7","0,",n,NA,n,insemination,,F,isolated,I,female,
44,1,8:27:14 AM,8:27:34 AM,",9","6,",n,NA,n,insemination,,E,isolated,L,female,
5,1,8:02:58 AM,8:03:06 AM,",1","7,",n,NA,n,insemination,,A,social,M,female,
53,1,8:35:47 AM,,",0","3,",n,NA,y,mount,,H,isolated,K,female,
71,1,9:02:49 AM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
8,1,8:02:59 AM,8:03:20 AM,",5","6,",n,NA,n,insemination,,B,social,L,female,
65,1,8:47:20 AM,,",8","0,",n,NA,y,mount,,C,social,I,female,
157,1,1:09:58 PM,1:10:19 PM,",4","2,",n,NA,n,insemination,,G,isolated,J,female,
74,1,9:04:03 AM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
10,1,8:03:28 AM,,",4","2,",n,NA,y,mount,,G,isolated,J,female,
31,1,8:20:12 AM,8:21:28 AM,",7","8,",n,NA,n,insemination,,F,isolated,N,female,
69,1,8:52:28 AM,,",0","9,",n,NA,y,mount,,H,isolated,O,female,
12,1,8:04:31 AM,,",4","2,",n,NA,y,mount,,G,isolated,J,female,
81,1,9:08:13 AM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
67,1,8:50:08 AM,,",8","0,",n,NA,y,mount,,C,social,I,female,
24,1,8:15:33 AM,8:16:12 AM,",5","3,",n,NA,n,insemination,,B,social,K,female,
15,1,8:05:57 AM,,",4","2,",n,NA,y,mount,,G,isolated,J,female,
155,1,1:02:48 PM,,",8","8,",n,NA,y,mount,,C,social,N,female,
33,1,8:21:50 AM,,",8","2,",y,y,NA,mount,,C,social,J,female,
63,1,8:45:44 AM,,",4","0,",n,NA,y,mount,,G,isolated,I,female,
139,1,12:18:02 PM,12:18:29 PM,",7","8,",n,NA,n,insemination,,F,isolated,N,female,
18,1,8:09:16 AM,,",5","5,",n,NA,y,mount,,B,social,P,female,
25,1,8:16:32 AM,,",5","9,",n,NA,y,mount,,B,social,O,female,
130,1,11:36:37 AM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
168,1,1:46:13 PM,1:46:36 PM,",1","3,",n,NA,n,insemination,,A,social,K,female,
140,1,12:21:02 PM,12:21:54 PM,",7","9,",n,NA,n,insemination,,F,isolated,O,female,
154,1,1:02:26 PM,1:02:37 PM,",2","8,",N,NA,N,insemination,,D,social,N,female,
70,1,9:00:02 AM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
153,1,12:51:07 PM,12:51:52 PM,",7","9,",N,NA,N,insemination,,F,isolated,O,female,
37,1,8:22:45 AM,,",2","7,",n,NA,y,mount,,D,social,M,female,
112,1,10:30:59 AM,,",8","2,",y,y,NA,mount,,C,social,J,female,
137,1,12:02:19 PM,,",8","0,",y,y,NA,mount,,C,social,I,female,
45,1,8:27:42 AM,,",2","0,",n,NA,y,mount,,D,social,I,female,
79,1,9:07:04 AM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
51,1,8:33:18 AM,,",2","0,",n,NA,y,mount,,D,social,I,female,
83,1,9:10:39 AM,,",4","2,",n,NA,y,mount,,G,isolated,J,female,
132,1,11:43:16 AM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
28,1,8:18:43 AM,,",7","6,",n,NA,y,mount,,F,isolated,L,female,
73,1,9:03:19 AM,,",5","2,",n,NA,y,mount,,B,social,J,female,
99,1,9:35:41 AM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
142,1,12:31:02 PM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
143,1,12:31:43 PM,,",9","8,",n,NA,y,mount,,E,isolated,N,female,
82,1,9:08:29 AM,,",2","0,",n,NA,y,mount,,D,social,I,female,
138,1,12:13:15 PM,,",8","0,",y,y,NA,mount,,C,social,I,female,
47,1,8:31:07 AM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
102,1,9:44:10 AM,,",4","0,",n,NA,y,mount,,G,isolated,I,female,
49,1,8:32:02 AM,,",7","9,",n,NA,y,mount,,F,isolated,O,female,
149,1,12:41:10 PM,,",0","3,",n,NA,y,mount,,H,isolated,K,female,
84,1,9:13:11 AM,,",2","0,",n,NA,y,mount,,D,social,I,female,
108,1,10:19:58 AM,,",1","5,",n,NA,y,mount,,A,social,P,female,
151,1,12:43:44 PM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
129,1,11:33:36 AM,,",9","0,",Y,n,y,mount,,E,isolated,I,female,
152,1,12:48:24 PM,,",0","3,",n,NA,y,mount,,H,isolated,K,female,
97,1,9:28:47 AM,,",9","0,",y,n,y,mount,,E,isolated,I,female,
