,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,8:02:49 AM,,",5",",2",,,,mount,,C,social,G,male
2,1,8:02:49 AM,,",7",",9",,,,mount,,F,isolated,A,male
3,1,8:03:04 AM,,",8",",2",,,,mount,,D,social,G,male
4,1,8:03:05 AM,8:03:58 AM,",1","8,",n,NA,n,insemination,,B,social,P,female
5,1,8:03:05 AM,,",0",",8",,,,mount,,H,isolated,D,male
6,1,8:03:16 AM,,",7","4,",y,n,y,mount,,F,isolated,L,female
7,1,8:03:44 AM,,",5",",3",,,,mount,,C,social,E,male
8,1,8:04:12 AM,,",7",",1",,,,mount,,F,isolated,B,male
9,1,8:04:28 AM,8:05:33 AM,",7","4,",y,n,n,insemination,,F,isolated,L,female
10,1,8:05:17 AM,,",9",",5",,,,mount,,A,social,C,male
11,1,8:05:39 AM,,",5",",9",,,,mount,,C,social,A,male
12,1,8:06:28 AM,8:07:38 AM,",1","1,",n,NA,n,insemination,,B,social,J,female
13,1,8:07:45 AM,,",7","4,",n,NA,y,mount,,F,isolated,L,female
14,1,8:08:00 AM,,",3",",9",,,,mount,,E,isolated,A,male
15,1,8:08:13 AM,,",9",",8",,,,mount,,A,social,D,male
16,1,8:08:17 AM,,",7",",1",,,,mount,,F,isolated,B,male
17,1,8:08:57 AM,,",0",",8",,,,mount,,H,isolated,D,male
18,1,8:09:04 AM,,",8",",3",,,,mount,,D,social,E,male
19,1,8:09:08 AM,,",3",",8",,,,mount,,E,isolated,D,male
20,1,8:09:16 AM,,",9",",8",,,,mount,,A,social,D,male
21,1,8:09:41 AM,,",2",",5",,,,mount,,G,isolated,C,male
22,1,8:09:53 AM,,",7","4,",n,NA,y,mount,,F,isolated,L,female
23,1,8:10:08 AM,,",8",",9",,,,mount,,D,social,A,male
24,1,8:10:34 AM,,",7",",1",,,,mount,,F,isolated,B,male
25,1,8:11:04 AM,,",7",",1",,,,mount,,F,isolated,B,male
26,1,8:11:45 AM,8:12:39 AM,",7","6,",n,NA,n,insemination,,F,isolated,N,female
27,1,8:13:35 AM,,",9",",2",,,,mount,,A,social,G,male
28,1,8:13:48 AM,,",2",",5",,,,mount,,G,isolated,C,male
29,1,8:13:52 AM,,",2",",5",,,,mount,,G,isolated,C,male
30,1,8:14:12 AM,,",5",",9",,,,mount,,C,social,A,male
31,1,8:14:19 AM,,",5",",2",,,,mount,,C,social,G,male
32,1,8:14:29 AM,,",5",",2",,,,mount,,C,social,G,male
33,1,8:16:01 AM,,",1","1,",n,NA,y,mount,,B,social,J,female
34,1,8:25:47 AM,,",1","5,",n,NA,y,mount,,B,social,M,female
35,1,8:25:57 AM,8:26:35 AM,",7","5,",n,NA,n,insemination,,F,isolated,M,female
36,1,8:26:08 AM,,",1",",7",,,,mount,,B,social,F,male
