sex,replicate,experiment,inseminations,mounts,opposite_sex_strength,oppo_sex_degree,ID,treatment
female,1,fem_2022,4,9,2.5911765,3,I,social
female,1,fem_2022,3,18,1.5610052,8,J,social
female,1,fem_2022,2,10,1.4769231,5,K,social
female,1,fem_2022,2,14,2.8823529,3,L,social
female,1,fem_2022,1,7,0.2541507,3,M,isolated
female,1,fem_2022,2,5,0.1602564,2,N,isolated
female,1,fem_2022,4,19,1.4117647,2,O,isolated
female,1,fem_2022,1,18,2.2502319,6,P,isolated
female,2,fem_2022,3,27,1.5227838,8,I,social
female,2,fem_2022,5,40,1.7007697,7,J,social
female,2,fem_2022,7,41,0.1761084,2,K,social
female,2,fem_2022,1,13,0.1825397,2,L,social
female,2,fem_2022,4,41,1.5914787,7,M,isolated
female,2,fem_2022,6,43,0.2692982,3,N,isolated
female,2,fem_2022,5,19,0.8310823,4,O,isolated
female,2,fem_2022,2,4,0.197619,3,P,isolated
female,4,fem_2022,2,9,0.81699346,2,I,social
female,4,fem_2022,4,8,0.89019608,2,J,social
female,4,fem_2022,5,20,1.57480818,5,K,social
female,4,fem_2022,3,17,1.88518518,6,L,social
female,4,fem_2022,2,8,0.6516654,3,M,isolated
female,4,fem_2022,3,7,0.76470588,1,N,isolated
female,4,fem_2022,2,10,1.02947053,8,O,isolated
female,4,fem_2022,3,7,0.89604668,3,P,isolated
female,3,fem_2022,1,13,1.4082303,6,I,social
female,3,fem_2022,1,13,1.0375494,4,J,social
female,3,fem_2022,1,17,0.4448052,2,K,social
female,3,fem_2022,0,6,0.4257871,2,L,social
female,3,fem_2022,5,11,0.4718643,4,M,isolated
female,3,fem_2022,4,37,0.6884603,3,N,isolated
female,3,fem_2022,5,54,1.7958027,7,O,isolated
female,3,fem_2022,4,21,1.1320064,6,P,isolated
female,5,fem_2022,2,4,0.9807631,4,I,social
female,5,fem_2022,3,12,0.9706163,3,J,social
female,5,fem_2022,2,11,2.0510595,5,K,social
female,5,fem_2022,2,19,1.0647667,5,L,social
female,5,fem_2022,4,6,0.596286,5,M,isolated
female,5,fem_2022,1,12,2.2485076,5,N,isolated
female,5,fem_2022,5,15,1.6395425,5,O,isolated
female,5,fem_2022,3,9,1.9042238,5,P,isolated
female,6,fem_2022,0,12,0.28632479,2,I,social
female,6,fem_2022,1,3,0.99677939,4,J,social
female,6,fem_2022,3,17,0.15384615,1,K,social
female,6,fem_2022,2,22,1.26368446,6,L,social
female,6,fem_2022,2,8,1.00198084,3,M,isolated
female,6,fem_2022,4,13,0.92261905,4,N,isolated
female,6,fem_2022,1,15,1.06086956,2,O,isolated
female,6,fem_2022,1,14,0.44444444,2,P,isolated
male,1,male_2023,1,18,1.5398724,5,A,social
male,1,male_2023,3,19,2.070743,4,B,social
male,1,male_2023,8,74,2.1175308,4,C,social
