,X,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,partner_sex,
1,1,8:01:17 AM,,mount,",1",",0",,,,,J,isolated,H,male,
2,1,8:01:32 AM,,mount,",5",:7,,,,,K,isolated,B,male,
3,1,8:02:02 AM,,mount,",9",:1,,,,,A,social,I,male,
4,1,8:03:51 AM,8:06:02 AM,insemination,",1","7,",n,NA,n,,J,isolated,T,female,
5,1,8:04:16 AM,8:05:57 AM,insemination,",4","0,",n,NA,n,,F,social,M,female,
6,1,8:04:34 AM,,mount,",7",:7,,,,,G,isolated,B,male,
7,1,8:06:44 AM,,mount,",2",",3",,,,,L,isolated,C,male,
8,1,8:06:54 AM,,mount,",2",",3",,,,,L,isolated,C,male,
9,1,8:07:53 AM,,insemination,",0","3,",n,NA,n,,H,isolated,P,female,
10,1,8:08:18 AM,,mount,",1","2,",y,y,NA,,J,isolated,O,female,
11,1,8:08:26 AM,,mount,",8",",6",,,,,E,social,D,male,
12,1,8:09:24 AM,,mount,",7",:7,,,,,G,isolated,B,male,
13,1,8:10:26 AM,,mount,",0","6,",y,y,NA,,H,isolated,S,female,
14,1,8:13:55 AM,,mount,",9",:1,,,,,A,social,I,male,
15,1,8:14:13 AM,,mount,",1","5,",n,NA,y,,J,isolated,R,female,
16,1,8:14:49 AM,8:18:27 AM,insemination,",1","5,",n,NA,n,,J,isolated,R,female,
17,1,8:15:41 AM,,mount,",7",:7,,,,,G,isolated,B,male,
18,1,8:16:19 AM,,mount,:1,",9",,,,,I,isolated,A,male,
19,1,8:19:10 AM,,mount,",2",",8",,,,,L,isolated,E,male,
20,1,8:21:22 AM,,mount,",5",",8",,,,,K,isolated,E,male,
21,1,8:21:32 AM,,mount,",5",",8",,,,,K,isolated,E,male,
22,1,8:21:39 AM,,mount,",1","7,",y,y,NA,,J,isolated,T,female,
23,1,8:23:39 AM,8:27:31 AM,insemination,",0","2,",n,NA,n,,H,isolated,O,female,
24,1,8:25:11 AM,,mount,",9",:1,,,,,A,social,I,male,
25,1,8:32:23 AM,,mount,",8",",5",,,,,E,social,K,male,
26,1,8:32:37 AM,,mount,",3",",8",,,,,C,social,E,male,
27,1,8:32:53 AM,,mount,",5",",3",,,,,K,isolated,C,male,
28,1,8:42:22 AM,,mount,:7,",7",,,,,B,social,G,male,
29,1,8:42:29 AM,,mount,",7",:7,,,,,G,isolated,B,male,
30,1,8:43:03 AM,8:44:40 AM,insemination,",0","6,",n,NA,n,,H,isolated,S,female,
31,1,8:43:45 AM,,mount,:7,",7",,,,,B,social,G,male,
32,1,8:46:16 AM,,mount,:7,",7",,,,,B,social,G,male,
33,1,8:54:03 AM,,mount,",0","7,",y,y,NA,,H,isolated,T,female,
34,1,9:13:55 AM,,mount,",6","0,",y,y,NA,,D,social,M,female,
35,1,9:16:29 AM,9:17:25 AM,insemination,:1,"2,",y,n,n,,I,isolated,O,female,
36,1,9:19:56 AM,,mount,:1,",9",,,,,I,isolated,A,male,
37,1,9:20:11 AM,,insemination,",9","2,",n,NA,n,,A,social,O,female,
38,1,9:21:52 AM,,mount,",7","0,",y,y,NA,,G,isolated,M,female,
39,1,9:23:22 AM,,mount,",2","0,",y,y,NA,,L,isolated,M,female,
40,1,9:27:17 AM,,mount,:1,"2,",y,y,NA,,I,isolated,O,female,
41,1,9:29:03 AM,,insemination,",5","1,",n,NA,n,,K,isolated,N,female,
42,1,9:30:17 AM,,mount,:7,"0,",y,y,NA,,B,social,M,female,
43,1,9:30:36 AM,,mount,",3",",8",,,,,C,social,E,male,
44,1,9:30:55 AM,,mount,",8",",5",,,,"while ,5 was inseminating 1,",E,social,K,male,
45,1,9:36:01 AM,,mount,",3",",5",,,,,C,social,K,male,
46,1,9:39:36 AM,9:40:00 AM,insemination,",9","2,",y,n,n,,A,social,O,female,
47,1,9:41:35 AM,,mount,",7",:7,,,,,G,isolated,B,male,
48,1,9:47:21 AM,9:49:52 AM,insemination,",7","2,",n,NA,n,,G,isolated,O,female,
49,1,9:54:58 AM,,mount,",3","9,",n,NA,y,,C,social,V,female,
50,1,10:09:20 AM,,mount,",1","6,",n,NA,y,,J,isolated,S,female,
51,1,10:09:55 AM,,mount,",0","6,",n,NA,y,,H,isolated,S,female,
52,1,10:15:27 AM,,mount,",5","9,",n,NA,y,,K,isolated,V,female,
53,1,10:15:44 AM,,mount,",5",",3",,,,,K,isolated,C,male,
54,1,10:18:50 AM,,mount,",7",:7,,,,,G,isolated,B,male,
55,1,10:20:51 AM,,mount,;7,",7",,,,,B,social,G,male,
56,1,10:22:18 AM,,mount,",7",;7,,,,,G,isolated,B,male,
57,1,10:22:40 AM,,mount,;7,",7",,,,,B,social,G,male,
58,1,10:23:37 AM,,mount,",2",;1,,,,,L,isolated,NA,female,
59,1,10:25:07 AM,,mount,",7",;7,,,,,G,isolated,B,male,
60,1,10:26:58 AM,,mount,;7,",7",,,,,B,social,G,male,
61,1,10:29:27 AM,,mount,",7",;7,,,,,G,isolated,B,male,
62,1,10:31:57 AM,,mount,",3",;7,,,,,C,social,B,male,
63,1,10:31:57 AM,,mount,",5",",3",,,,,K,isolated,C,male,
64,1,10:33:22 AM,,mount,",8",;7,,,,,E,social,B,male,
65,1,10:37:04 AM,,mount,;7,",5",,,,,B,social,K,male,
66,1,10:38:32 AM,,mount,",5",;7,,,,,K,isolated,B,male,
67,1,10:44:01 AM,10:49:22 AM,insemination,",7",1;,n,NA,n,,G,isolated,NA,female,
68,1,10:53:47 AM,,mount,",3","6,",y,n,y,weird sideways  mount,C,social,S,female,
69,1,11:05:05 AM,,mount,",8",",3",,,,,E,social,C,male,
70,1,11:09:36 AM,,mount,",5","0,",n,NA,y,,K,isolated,M,female,
71,1,11:30:35 AM,,mount,",5",:7,,,,,K,isolated,B,male,
72,1,11:39:39 AM,,mount,:1,",2",,,,,I,isolated,L,male,
73,1,12:00:54 PM,,mount,",8",1:00,n,NA,y,,E,social,X,female,
74,1,12:01:34 PM,12:02:10 PM,insemination,",8","6,",y,n,n,,E,social,S,female,
75,1,12:30:31 PM,,mount,",8","6,",n,NA,y,,E,social,S,female,
76,1,12:34:36 PM,,mount,:1,",0",,,,,I,isolated,H,male,
77,1,12:35:25 PM,,mount,",5",",8",,,,,K,isolated,E,male,
78,1,12:35:45 PM,,mount,",8",:7,,,,,E,social,B,male,
79,1,12:47:17 PM,,mount,",2",:1,,,,,L,isolated,I,male,
80,1,12:47:44 PM,,mount,",5","6,",y,n,y,,K,isolated,S,female,
81,1,12:48:44 PM,,mount,",3",",5",,,,,C,social,K,male,
82,1,12:49:03 PM,,mount,",5","6,",y,n,y,,K,isolated,S,female,
83,1,12:49:07 PM,,mount,",3","6,",y,n,y,,C,social,S,female,
84,1,12:50:20 PM,,mount,",2","0,",y,n,y,,L,isolated,M,female,
85,1,12:53:08 PM,12:54:23 PM,insemination,:1,"0,",n,NA,n,,I,isolated,M,female,
86,1,12:54:45 PM,12:55:33 PM,insemination,",2","6,",n,NA,n,,L,isolated,S,female,
87,1,1:34:41 PM,,mount,",8",",3",,,,,E,social,C,male,
88,1,1:38:38 PM,,mount,",8",",3",,,,,E,social,C,male,
89,1,1:38:45 PM,,mount,",3","0,",y,y,NA,,C,social,M,female,
90,1,1:39:18 PM,1:40:27 PM,insemination,",8","4,",y,n,n,,E,social,Q,female,
91,1,1:41:00 PM,,mount,",5",:7,,,,,K,isolated,B,male,
92,1,1:41:28 PM,,mount,",5",",8",,,,,K,isolated,E,male,
93,1,1:47:41 PM,,mount,:7,"6,",y,y,NA,,B,social,S,female,
94,1,1:54:03 PM,,mount,",5",0:00,y,n,y,,K,isolated,W,female,
95,1,1:54:34 PM,1:55:02 PM,insemination,",3","9,",y,n,n,,C,social,V,female,
96,1,2:10:28 PM,,mount,",3",",5",,,,,C,social,K,male,
97,1,2:18:13 PM,,mount,",0","5,",n,NA,y,,H,isolated,R,female,
98,1,2:29:29 PM,,mount,",2",:1,,,,,L,isolated,I,male,
99,1,2:29:47 PM,,mount,:1,",2",,,,,I,isolated,L,male,
100,1,2:43:05 PM,,mount,",5","7,",y,n,y,,K,isolated,T,female,
101,1,2:45:29 PM,,mount,",5",",8",,,,,K,isolated,E,male,
102,1,2:46:15 PM,,mount,",5",",8",,,,,K,isolated,E,male,
103,1,2:48:05 PM,,mount,:7,"4,",y,n,y,,B,social,Q,female,
104,1,2:49:00 PM,,mount,",8",",3",,,,,E,social,C,male,
105,1,3:09:15 PM,,mount,",3","6,",y,n,y,,C,social,S,female,
106,1,3:09:56 PM,,mount,",3","6,",n,NA,y,,C,social,S,female,
107,1,3:25:20 PM,,mount,",5",",3",,,,,K,isolated,C,male,
108,1,3:28:19 PM,,mount,",5","6,",y,y,NA,,K,isolated,S,female,
109,1,3:28:22 PM,,mount,",5","6,",y,n,y,,K,isolated,S,female,
110,1,3:28:47 PM,,mount,",8","6,",n,NA,y,,E,social,S,female,
111,1,3:29:54 PM,,mount,",3","8,",n,NA,y,,C,social,U,female,
112,1,3:31:01 PM,,mount,",5",",7",,,,,K,isolated,G,male,
113,1,3:36:23 PM,,mount,:1,"0,",y,n,y,,I,isolated,M,female,
114,1,3:37:07 PM,,mount,:1,",2",,,,,I,isolated,L,male,
115,1,3:39:23 PM,,mount,",2",:1,,,,,L,isolated,I,male,
116,1,3:40:31 PM,,mount,",2",:1,,,,,L,isolated,I,male,
117,1,3:44:50 PM,,mount,",0",",5",n,NA,y,,H,isolated,K,male,
118,2,9:18:38 AM,,mount,",9",",2",,,,,A,social,L,male,
119,2,9:18:49 AM,,mount,",2",",9",,,,,L,isolated,A,male,
120,2,9:55:00 AM,,insemination,:7,"6,",n,NA,n,,B,social,S,female,
121,2,10:46:08 AM,,mount,",5",:7,,,,,K,isolated,B,male,
122,2,10:46:53 AM,,mount,",5",:7,,,,,K,isolated,B,male,
123,2,10:48:37 AM,,mount,",2",:1,,,,,L,isolated,I,male,
124,2,10:53:49 AM,,mount,",5",",3",,,,,K,isolated,C,male,
125,2,11:32:31 AM,11:32:57 AM,insemination,",4","4,",n,NA,n,,F,social,Q,female,
126,2,11:34:29 AM,,mount,",6",",4",,,,,D,social,F,male,
127,2,12:06:19 PM,,mount,",1","5,",y,y,NA,,J,isolated,R,female,
128,2,12:11:33 PM,,mount,",1","5,",n,NA,y,,J,isolated,R,female,
129,2,12:16:46 PM,,mount,",4","4,",y,y,NA,,F,social,Q,female,
130,2,12:21:26 PM,,mount,:1,"0,",y,y,NA,,I,isolated,M,female,
131,2,12:22:14 PM,,mount,",2",:1,,,,,L,isolated,I,male,
132,2,12:22:14 PM,,mount,:1,",9",,,,,I,isolated,A,male,
133,2,12:33:59 PM,12:34:41 PM,insemination,:1,"0,",n,NA,n,,I,isolated,M,female,
134,2,12:34:01 PM,,mount,",2",:1,,,,,L,isolated,I,male,
135,2,12:34:45 PM,,mount,",9",:1,,,,,A,social,I,male,
136,2,12:52:31 PM,,mount,",2",",9",,,,,L,isolated,A,male,
137,2,1:15:20 PM,,mount,",5",",3",,,,,K,isolated,C,male,
138,2,1:15:53 PM,,mount,",3","0,",y,y,NA,,C,social,M,female,
139,2,1:15:59 PM,1:16:27 PM,insemination,",3","8,",n,NA,n,,C,social,U,female,
140,2,1:24:02 PM,,mount,",8","0,",y,y,NA,,E,social,M,female,
141,2,1:24:29 PM,,mount,",8","0,",y,n,y,,E,social,M,female,
142,2,1:27:18 PM,,mount,",8","0,",y,y,NA,,E,social,M,female,
143,2,1:41:08 PM,,mount,",3","2,",y,y,NA,,C,social,O,female,
144,2,1:41:33 PM,,mount,",3","8,",n,NA,y,,C,social,U,female,
145,2,2:20:26 PM,,insemination,",0","5,",n,NA,n,,H,isolated,R,female,
146,2,2:30:16 PM,,mount,",2",:1,,,,,L,isolated,I,male,
147,2,2:30:29 PM,,mount,",9",",2",,,,,A,social,L,male,
148,2,2:32:30 PM,,mount,",1","5,",y,y,NA,,J,isolated,R,female,
149,2,2:35:18 PM,,mount,",0","5,",y,y,NA,,H,isolated,R,female,
150,2,2:38:42 PM,,mount,",2",",9",,,,,L,isolated,A,male,
151,2,2:38:57 PM,,mount,",4",",6",,,,,F,social,D,male,
152,2,3:09:25 PM,,mount,",8","8,",n,NA,y,,E,social,U,female,
153,2,3:12:55 PM,,mount,:7,"8,",y,y,NA,,B,social,U,female,
154,2,3:20:35 PM,,mount,",3","8,",y,y,NA,,C,social,U,female,
155,2,3:35:28 PM,,mount,",3",:7,,,,,C,social,B,male,
156,2,3:39:38 PM,,mount,:7,",3",,,,,B,social,C,male,
157,2,3:39:54 PM,,mount,",3","8,",y,y,NA,,C,social,U,female,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
