"","day","start_time","end_time","behaviour","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","Notes","patch_focal","treatment","patch_partner","partner_sex"
"1",1,"8:01:13 AM","","mount",",8",",0","","","","","F","social","G","male"
"2",1,"8:01:15 AM","","mount",",0",",8","","","","","G","isolated","F","male"
"3",1,"8:01:25 AM","8:03:31 AM","insemination",",1","1:00","n",NA,"n","","J","isolated","X","female"
"4",1,"8:01:41 AM","8:03:27 AM","insemination",",6","3,","n",NA,"n","","C","social","P","female"
"5",1,"8:01:56 AM","","mount",":0",",4","","","","","K","isolated","I","male"
"6",1,"8:01:57 AM","","mount",",7",":0","","","","","A","social","K","male"
"7",1,"8:02:39 AM","","mount",",4",",4","","","","","I","isolated","I","male"
"8",1,"8:02:40 AM","","mount",":0",",7","","","","","K","isolated","A","male"
"9",1,"8:02:40 AM","","mount",":0",",0","","","","","K","isolated","G","male"
"10",1,"8:02:41 AM","","mount",",7",",0","","","","","A","social","G","male"
"11",1,"8:02:45 AM","","mount",":1","8,","y","y",NA,"","D","social","U","female"
"12",1,"8:03:04 AM","8:06:07 AM","insemination",":1","2,","n",NA,"n","","D","social","O","female"
"13",1,"8:03:43 AM","","mount",",8",",3","","","","","F","social","L","male"
"14",1,"8:03:50 AM","","mount",",1","6,","y","y",NA,"","J","isolated","S","female"
"15",1,"8:04:15 AM","","mount",",8","0,","n",NA,"y","","F","social","M","female"
"16",1,"8:04:41 AM","8:06:08 AM","insemination",",9","0:00","n",NA,"n","","H","isolated","W","female"
"17",1,"8:05:02 AM","8:07:02 AM","insemination",",4","1:00","n",NA,"n","","I","isolated","X","female"
"18",1,"8:05:20 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"19",1,"8:05:44 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"20",1,"8:06:39 AM","8:07:39 AM","insemination",",7","2,","n",NA,"n","","A","social","O","female"
"21",1,"8:07:22 AM","8:10:21 AM","insemination",":1","8,","n",NA,"n","","D","social","U","female"
"22",1,"8:07:41 AM","8:10:28 AM","insemination",":0","2,","y","n","n","","K","isolated","O","female"
"23",1,"8:07:59 AM","8:10:21 AM","insemination",",0","7,","n",NA,"n","","G","isolated","T","female"
"24",1,"8:09:04 AM","","mount",",1","3,","y","y",NA,"","J","isolated","P","female"
"25",1,"8:09:11 AM","8:10:47 AM","insemination",",6","6,","n",NA,"n","","C","social","S","female"
"26",1,"8:09:46 AM","","mount",",9",",0","","","","","H","isolated","G","male"
"27",1,"8:10:00 AM","8:11:41 AM","insemination",",3","5,","n",NA,"n","","L","isolated","R","female"
"28",1,"8:10:30 AM","8:11:27 AM","insemination",",7","0:00","n",NA,"n","","A","social","W","female"
"29",1,"8:11:04 AM","","mount",",8",",5","","","","","F","social","B","male"
"30",1,"8:11:48 AM","","mount",",4","1:00","y","y",NA,"","I","isolated","X","female"
"31",1,"8:12:17 AM","","mount",",5","0,","y","y",NA,"","B","social","M","female"
"32",1,"8:12:31 AM","8:13:24 AM","insemination",":0","7,","n",NA,"n","","K","isolated","T","female"
"33",1,"8:13:29 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"34",1,"8:14:33 AM","8:16:08 AM","insemination",",9","1,","n",NA,"n","","H","isolated","N","female"
"35",1,"8:14:48 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"36",1,"8:17:14 AM","","mount",",8","5,","y","y",NA,"","F","social","R","female"
"37",1,"8:17:26 AM","","mount",",6",",1","","","","","C","social","J","male"
"38",1,"8:17:32 AM","","mount",":0","3,","y","y",NA,"","K","isolated","P","female"
"39",1,"8:17:50 AM","","insemination",",8","5,","n",NA,"n","","F","social","R","female"
"40",1,"8:18:26 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"41",1,"8:19:50 AM","","mount",":1","2,","y","n","y","","D","social","O","female"
"42",1,"8:20:06 AM","","mount",",6",",1","","","","","C","social","J","male"
"43",1,"8:20:19 AM","","mount",":0","3,","y","y",NA,"","K","isolated","P","female"
"44",1,"8:25:06 AM","","mount",",6",",1","","","","","C","social","J","male"
"45",1,"8:27:03 AM","","mount",":0","1:00","y","n","y","","K","isolated","X","female"
"46",1,"8:27:15 AM","","mount",":1","8,","y","y",NA,"","D","social","U","female"
"47",1,"8:27:40 AM","","mount",",4","0:00","y","y",NA,"","I","isolated","W","female"
"48",1,"8:27:55 AM","","mount",":0","9,","y","y",NA,"","K","isolated","V","female"
"49",1,"8:28:07 AM","8:31:21 AM","insemination",",0","9,","y","n","n","","G","isolated","V","female"
"50",1,"8:28:19 AM","","mount",",9",",0","","","","while ,0 was on 9,","H","isolated","G","male"
"51",1,"8:28:46 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"52",1,"8:29:11 AM","8:30:08 AM","insemination",",3","2,","n",NA,"n","","L","isolated","O","female"
"53",1,"8:29:47 AM","8:31:11 AM","insemination",":0","4,","n",NA,"n","","K","isolated","Q","female"
"54",1,"8:31:24 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"55",1,"8:32:06 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"56",1,"8:32:15 AM","8:34:13 AM","insemination",",5","0,","n",NA,"n","","B","social","M","female"
"57",1,"8:32:40 AM","","mount",",0",",9","","","","","G","isolated","H","male"
